,id,name,artist_id,album_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
35,21AJQhGZpujjZQXByZAXpr,REPEAT IT (with Gunna),4Ga1P7PMIsmqEZqhYZQgDo,0hTvuLmKKMWoBWgPPrpUKF,69,0.681,0.687,9,-7.612,1,0.332,0.0555,0.0,0.062,0.588,108.641,190345,3
36,0k7wmahjkn389wAZdz19Cv,Drankin N Smokin,1RyvyyTE3xzB2ZywiAwp0i,48xpWR8K6CGpy3ETAym3pt,74,0.752,0.658,0,-6.297,1,0.342,0.0421,0.0,0.0927,0.387,151.951,213520,4
37,0PJ4dXVkpNAtoOZsEjqktc,UGLY (feat. Lil Baby),1z7b1Pr1rSlvWRzsW3HOrS,6QKJuikQEvlMmthEFunSUW,59,0.713,0.663,1,-5.113,1,0.149,0.0641,0.0,0.324,0.787,104.99,194286,4
38,15qKrPi4Kg0z7g9HlwWyeb,The Jackie (with J. Cole & Lil Tjay),70gP6Ry4Uo0Yx6uzPIdaiJ,6xiJPpCpSaM5l4Fz8IYjyU,58,0.784,0.474,8,-6.139,1,0.0524,0.333,0.0,0.278,0.64,128.012,204434,4
39,27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),7jVv8c5Fj3E9VhNjxT4snq,622NFw5Yk0OReMJ2XWcXUh,88,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,212000,4
40,28ZhRMf6jwUWNtJgOBR7HL,Scrub,6EPlBSH2RSiettczlz7ihV,38nZLvJx8A9p4YYpTG5iFP,63,0.772,0.742,11,-5.313,1,0.382,0.657,3.98e-06,0.367,0.903,186.145,172903,4
41,3mDFLytDotXo2p0rvfGbkA,What's Next,3TVXtAsR1Inumwj472S9r4,6RxuBWYLCMtRHl7IpoVuhY,54,0.777,0.58,0,-6.928,0,0.0525,0.0125,0.0,0.161,0.0636,129.918,178154,4
42,1qlh1WxuWilyIWRwdsKMuJ,Me or Sum (feat. Future & Lil Baby),0Njy6yR9LykNKYg9yE23QN,6SEeNB2xGW1kmysKSvWYqC,68,0.532,0.572,1,-6.794,1,0.421,0.00984,0.0,0.143,0.369,160.517,225664,4
43,1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,0eDvMgVFoNV3TpwtrVCoTj,7e7t0MCrNDcJZsPwUKjmOc,79,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000,4
44,7Bpx2vsWfQFBACRz4h3IqH,family ties (with Kendrick Lamar),5SXuuuRpukkTvsLuUknva1,3HqmX8hGcbbQZODgayNEYx,77,0.711,0.611,1,-5.453,1,0.329,0.00575,0.0,0.231,0.144,134.14,252070,4
45,5KQxun2WxwDMsV7HCN2ONK,Rich MF (feat. Polo G & Lil Durk),6Xgp2XMz1fhVYe7i6yNAax,2CKiKnlmneU5Lr0aQLB83Q,3,0.756,0.698,6,-5.464,1,0.178,0.0849,0.0,0.221,0.66,77.497,247714,4
46,7v96VvFLS0wSYT8kewNLRy,24 (feat. Lil Baby),3Rx4PJ7SP6unkOk5elPUK7,5kaQQ0Z6RNMSqCRtM1lGn5,68,0.868,0.638,2,-7.746,1,0.0736,0.146,0.0565,0.0931,0.459,126.03,182857,4
47,6g6FfeozIEkVUXecpSq16Q,Elon Musk (feat. Gunna),0WK3H9OErSn5zKOkOV5egm,5AviR59jAHiYp4Up3hj0bw,74,0.826,0.583,2,-5.186,0,0.0626,0.441,0.0,0.155,0.539,140.039,205759,4
48,5vUnjhBzRJJIAOJPde6zDx,TO THE MOON,1Z25ZlGHqqlr3o1UGQOfNn,70uNWLPkbci5L1bZI1Mzp6,82,0.745,0.65,2,-11.814,1,0.346,0.0451,0.00758,0.111,0.386,144.047,152137,4
49,2NM0qHzx4Ohy8iXHEEgwlO,Having Our Way (feat. Drake),6oMuImdp5ZcFhWP0ESe6mG,3uyOwJu4r3yroAkFywNFM3,65,0.927,0.538,1,-3.917,1,0.116,0.0312,0.0,0.0945,0.221,125.983,278191,4
50,1VLtjHwRWOVJiE5Py7JxoQ,Martin & Gina,6AgTAQt8XS6jRWi4sX7w49,39xhYyNNDatQtgKw2KdXMz,80,0.832,0.534,1,-7.813,0,0.253,0.345,0.0,0.165,0.116,93.924,132833,4
51,6QTTPp4rzMqcbWWzgrGf9c,"Loyal To A Fault (feat. Bryson Tiller, Lil Durk)",0c173mlxpT3dSFRgMO8XPh,6aLBUWVN4WcBAJeJ7nI6j1,54,0.676,0.742,8,-5.982,0,0.138,0.0785,2.41e-05,0.147,0.398,147.07,243189,4
52,26UxwWl9xCb83OynXELJcL,Masterpiece,4r63FhuTkUYltbVAg5TQnk,6kaYDcX9dNmJE5OU71IUby,71,0.781,0.726,0,-4.213,1,0.0836,0.0299,0.0,0.093,0.436,139.988,181714,4
53,2lUDBd7JrgAMltcp6dcd7D,25 million,757aE44tKEUQEqRuT6GnEB,1eVrpJbHRLBbioB9sb5b94,69,0.793,0.481,9,-9.258,1,0.124,0.019,1.09e-06,0.139,0.395,132.202,204626,4
54,35RJhm1pEovTBwnNR0zWad,GREECE (feat. Drake),0QHgL1lAIqAw0HtD7YldmP,3O6ywzP5LE5msmuBBTpaIN,72,0.695,0.343,5,-10.798,1,0.0432,0.0743,1.04e-06,0.107,0.229,85.84,218902,4
55,3RoCi49XvcidDK7OqGw7fb,Come Through (feat. Lil Tecca),0Yr4BBpK2dkCp2UsrJ9LZN,1MmvvWW9bxBU68A6eciF2B,68,0.872,0.623,3,-3.94,0,0.0389,0.41,0.0,0.184,0.72,104.07,112614,4
56,2wOnrN7fkzV4NsLqym2C6O,Already Won (feat. Lil Durk),45TgXXqMDdF8BkjA83OM7z,15BnishwaiZhh0ZY3fnxMN,63,0.321,0.525,7,-9.891,0,0.131,0.0668,0.0,0.137,0.152,75.774,212064,4
57,7o4gBbTM6UBLkOYPw9xMCz,Moonwalking in Calabasas (feat. Blueface) - Remix,0WK3H9OErSn5zKOkOV5egm,1z02WpEdAuImwfySk43owY,65,0.928,0.341,11,-10.196,0,0.103,0.0614,0.0,0.162,0.745,129.966,170233,4
58,1inQjfrPjWSM8DehYMfIxi,At Will (feat. EST Gee),02kJSzxNuaWGqwubyUba0Z,1efkAIrYwFqFvHUFzWBq3d,52,0.824,0.536,1,-5.505,0,0.13,0.0257,0.0,0.179,0.207,124.972,170840,4
59,6RfhBNU1FPWTG7VESlfgOl,Bad Man (Smooth Criminal),6AgTAQt8XS6jRWi4sX7w49,7riCJFypFAOsAHy4MTcNp5,69,0.882,0.662,0,-6.382,1,0.242,0.0124,0.0,0.106,0.57,120.034,106000,4
60,5sBplhIrmzA4kQGyIOpmDf,Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix],6MPCFvOQv5cIGfw3jODMF0,7AgDcfBGf9SYACiuIHXPRK,60,0.832,0.549,1,-8.259,0,0.0602,0.168,0.0,0.11,0.384,140.045,181496,4
61,4RQvgOmRgrrfrkCqAvy9TE,SMALL TALK,1z7b1Pr1rSlvWRzsW3HOrS,5yJU1vO3neGkLlrYeDKgVY,62,0.794,0.649,1,-4.294,1,0.348,0.0584,0.0,0.314,0.611,144.343,121148,4
62,1YmyHCxLKjLBBNQU51yQOh,No Drama,0Yr4BBpK2dkCp2UsrJ9LZN,6ViANKeydeABO0cqB0SB3Z,60,0.94,0.661,1,-6.009,1,0.173,0.304,0.0,0.106,0.837,108.0,196734,4
63,6EDO9iiTtwNv6waLwa1UUq,POPSTAR (feat. Drake),0QHgL1lAIqAw0HtD7YldmP,5nNtpPsSUgb9Hlb3dF1gXa,73,0.8,0.56,5,-4.818,0,0.261,0.057,0.0,0.134,0.45,163.071,200221,4
64,65UMCdooEyQ6dQHmbgwEVS,OKAY (feat. Vory),2jwmP4TgzTGqjCfcXMDayW,5B7pNKgmdLGj1PJsyKwhGA,48,0.731,0.41,9,-10.666,1,0.083,0.544,0.0,0.11,0.457,114.104,210779,4
65,6psP05MMEYxyJ54qdGEnOU,Crypto (feat. Rich The Kid),3EW0kQ1skZiK1NHg3Spt9J,5UKyIgRyqHXI08xf1HrQ7O,63,0.883,0.606,1,-4.421,1,0.238,0.267,0.0,0.0952,0.495,119.954,160949,4
66,2zR8U7MLwxlLf7xkAew9BR,"30,000 ft",2EzNKTHTCUaHUkKaNFUH8d,4pe6ylc2vjCU7zQ6EI8ayn,51,0.484,0.746,5,-7.171,0,0.337,0.0981,0.0,0.096,0.513,171.171,157874,4
67,4FRW5Nza1Ym91BGV4nFWXI,Lemon Pepper Freestyle (feat. Rick Ross),3TVXtAsR1Inumwj472S9r4,5LuoozUhs2pl3glZeAJl89,69,0.77,0.637,1,-5.53,1,0.345,0.103,0.0,0.171,0.431,94.966,383037,4
68,0mG6igzxbH55XRyq3ygEh8,2055,6EPlBSH2RSiettczlz7ihV,0DiZ7mmFppDNbEtoRPvSGf,72,0.775,0.518,6,-5.857,0,0.311,0.455,0.0,0.121,0.646,161.011,123987,4
69,0cu0rhnlCnJ7JIeHRiLpj3,Ball If I Want To,4r63FhuTkUYltbVAg5TQnk,6N9oICOUm4QT2YpWdKwUlu,73,0.902,0.669,1,-5.049,1,0.457,0.161,0.0,0.0728,0.628,139.949,112547,4
70,4wNKxMbE3n1gRm4F6OaCP1,Coupe,0eDvMgVFoNV3TpwtrVCoTj,2MlT9dGKoGH2hsfcz7UUXL,61,0.912,0.589,8,-7.476,1,0.2,0.0332,0.0162,0.0795,0.486,135.921,123549,4
71,70pwY1UfPmSVE3ybPjFy0p,Worst Day,1RyvyyTE3xzB2ZywiAwp0i,6dfL9bdRB7ACOlf9EJpcfT,70,0.646,0.597,1,-6.045,1,0.401,0.11,0.0,0.0958,0.6,88.506,184893,4
72,0C1T6YOwB7MMzspV0UbKKA,5 A.M.,4xRYI6VqpkE3UwrDrAZL8L,3UTazkAlLS4ZmVbIgJentC,60,0.72,0.677,5,-4.592,1,0.162,0.205,0.0,0.0966,0.389,174.072,220517,4
73,5q9Et9kJTWvRg80uQLBW4s,Shoot My Shot,6aiFCgyKNwF9Rv5TOxnE8E,2ug89z91VcJ8NfpbZGVrPw,58,0.756,0.577,7,-7.127,1,0.0395,0.00277,0.0,0.309,0.685,92.036,172105,4
74,4xqIYGwwZTEem9U8A42SPF,Broke In A Minute,2jku7tDXc6XoB6MO2hFuqg,2TbrXjwWklhT7JrC5sdUkf,72,0.929,0.7,0,-5.595,0,0.0906,0.144,0.0,0.349,0.802,120.009,132024,4
75,341lTIxmhybbQsgydwJiFx,Stuntin' On You (feat. DaBaby),1MXZ0hsGic96dWRDKwAwdr,0ntJqUFZt7XQmRycj6typz,65,0.796,0.683,10,-5.165,0,0.277,0.0111,2.58e-06,0.126,0.737,173.852,141123,3
76,4wuMS7NGVbU7hdu94K5icd,Prada (feat. Lil Tecca),6fWVd57NKTalqvmjRd2t8Z,2ut84dwAs20nDuTqnvKsDQ,67,0.686,0.69,6,-6.13,0,0.24,0.122,0.0,0.137,0.528,178.157,151586,4
77,22hoscwut5PWqmBa5eTk77,Money On The Table (ft. Benny The Butcher),0FOWNUFHPnMy0vOw1siGqi,6SXR9YYaqsSmRWv5b6d37B,40,0.678,0.552,11,-7.915,0,0.374,0.528,0.0,0.135,0.603,83.951,124834,4
78,04EvAhYmelTjLIxWzK7JLm,NIGHTFALL (feat. Dro Kenji),7mX72Bq2iXNr8fZdu23fQL,79YZv5y3Heiw4QZ6i77FTE,57,0.519,0.571,5,-7.386,1,0.0643,0.415,1.38e-06,0.278,0.239,142.954,149043,4
79,45s98gUcOcj5nJeFDNLH2g,Want It All (feat. Polo G),3wcj11K77LjEY1PkEazffa,4sfZvwEahjF7he9xtv3Ftf,61,0.519,0.568,1,-9.551,1,0.155,0.211,1.73e-06,0.0912,0.707,159.988,232500,4
80,2T5NBwKRySiCR78vVk08vr,BLIND (feat. Young Thug),4r63FhuTkUYltbVAg5TQnk,6SL49HqoUwu2hhfukBAK3Q,62,0.709,0.679,11,-6.503,0,0.346,0.0115,0.0,0.0971,0.754,162.973,153467,4
81,0lEjxUUlKqjqXrVlIHFduD,P power (feat. Drake),2hlmm7s2ICUX0LVIhVFlZQ,02uWB8Kekadkl3yGBoOOcx,78,0.828,0.591,1,-6.217,1,0.109,0.0199,0.000323,0.361,0.202,119.251,193347,4
82,2cnKST6T9qUo2i907lm8zX,a m a r i,6l3HvQ5sa6mXTsMTB19rO5,4JAvwK4APPArjIsOdGoJXX,72,0.725,0.713,4,-6.173,0,0.187,0.127,0.0,0.617,0.207,65.988,148421,4
83,40UUA98SbhyPmhJJm3KgYs,Not The Same God As Mine,5zctI4wO9XSKS8XwcnqEHk,6FOe6OxItoBp8M9uQKO6ke,49,0.656,0.561,2,-7.245,0,0.0295,0.781,0.0,0.0817,0.578,93.061,164101,4
84,7ovsrGkfcZhLuXPtN4Z2qC,Woah,0P54cVemq1DCHUfUMlWAoN,3Emj30Utjj4Y94qjvU21gt,42,0.74,0.648,10,-7.571,1,0.3,0.379,0.000134,0.231,0.373,62.056,175765,4
85,3zs87EV3EZSh2UpiXxT52Y,Better Believe,0FOWNUFHPnMy0vOw1siGqi,15a7Yf9rZIKhulN2NEKb3a,59,0.797,0.573,0,-7.85,1,0.319,0.159,0.0,0.144,0.445,124.995,206629,4
86,3aG1fFJSAdUgpG519HDxla,Down South (feat. Yella Beezy & Maxo Kream),67nwj3Y5sZQLl72VNUHEYE,6tQa2QPiwhUanjT2siooZ3,51,0.743,0.752,1,-6.143,1,0.292,0.123,0.0,0.137,0.473,180.366,239203,4
87,7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (with Metro Boomin),4DdkRBBYG6Yk9Ka8tdJ9BW,0MV1yCXcNNQBfwApqAVkH0,79,0.88,0.428,9,-8.28,1,0.206,0.149,5.05e-05,0.114,0.333,100.007,172800,4
88,7qM1BWAsZMTYh4BcYLb0uQ,Already Dead,4MCBfE4596Uoi2O4DtmEMz,2aTGgm64NP8b7rVpnp8Lil,29,0.74,0.501,1,-6.339,1,0.0592,0.019,0.0,0.114,0.119,83.5,231011,4
89,1zwvbkUqTozLnmIECvBfgs,ROOF,4r63FhuTkUYltbVAg5TQnk,6IqDBDKg1kWzZfpKorTv0B,67,0.892,0.577,2,-4.299,1,0.341,0.0121,0.0,0.243,0.64,145.935,94521,4
90,0P2P1AxcRYhiZvoF5MyRmM,Rumors (feat. Lil Durk),13y7CgLHjMVRMDqxdx0Xdo,7x2jRqKRTESzM0A8vBOJIM,76,0.688,0.842,2,-4.211,1,0.264,0.0499,0.0,0.241,0.416,159.897,185856,4
91,5bjTLWk5cBOACEVPl3oqkU,What A Life,0c173mlxpT3dSFRgMO8XPh,32OzT7FCnSUIqGZLTxJCzF,58,0.824,0.782,1,-5.304,1,0.0516,0.00089,2.64e-05,0.0949,0.381,95.012,178431,4
92,6wJYhPfqk3KGhHRG76WzOh,Blueberry Faygo,5zctI4wO9XSKS8XwcnqEHk,6rBennOYWR1OZQnsU39PKL,73,0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034,162547,4
93,2M2Pug4zwMialHSwACPlU1,Like This,4mkjpWbFO45SyaHiM9GOVE,7hUMkRbKfBbD9YBan9YY75,55,0.712,0.679,4,-6.261,1,0.0649,0.0394,0.0,0.195,0.57,160.003,163813,4
94,2t7D3y0jvYjR8IP9Bosyew,GO (feat. Juice WRLD),2tIP7SsRs7vjIcLrU85W8J,40wtKuLVVlde1T88LqtZwa,60,0.544,0.744,6,-5.007,1,0.0889,0.185,0.0,0.336,0.572,73.699,183947,4
95,7CmNyEQUpNSX6RMM5Fw3os,DOORS UNLOCKED (feat. Ty Dolla $ign & Polo G),3CbYyyd8wH3RT6t0jwpdzC,1l8cso9L0nNR3GuiB5mKve,53,0.689,0.393,0,-9.179,0,0.0876,0.209,0.0,0.122,0.513,158.016,171888,4
96,7wpyrkjEgz7W1vNYDxMKrF,GYALIS,59HbaJ5E8ud7FNLGqUN1KH,7GbE1XjMbpkSxGkmUr7Ck4,67,0.666,0.643,8,-7.01,1,0.423,0.386,0.0,0.283,0.756,96.375,105377,4
97,5SWnsxjhdcEDc7LJjq9UHk,Runnin,1URnnhqYAYcrqrcwql10ft,6wTyGUWGCilBFZ837k5aRi,75,0.819,0.626,10,-4.574,0,0.202,0.00748,0.101,0.167,0.415,143.01,195906,4
98,4OiBN3pUfo2ykf2xaEHWA6,The Announcement (Sex Drugs & Rock and Roll),02kJSzxNuaWGqwubyUba0Z,16unxwo20zgjnmVPWCpUKH,44,0.629,0.781,8,-3.385,0,0.274,0.031,0.0,0.236,0.341,79.469,208547,4
99,78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),5f7VJjfbwm532GiveGC0ZK,2yXnY2NiaZk9QiJJittS81,80,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4
