"n","id","artist_name","name","duration_ms","album_name","track_number","release_date","total_tracks","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
25,"1R9FxlRkvKtt36dtTHs93X","Jon Pardi","Head Over Boots",205120,"Head Over Boots",1,"2015-09-04",1,0.637,0.669,7,-4.608,1,0.0237,0.0919,0,0.103,0.638,108.078,4
26,"03fT3OHB9KyMtGMt2zwqCT","Luke Bryan","Play It Again",226866,"Crash My Party",9,"2013-01-01",13,0.506,0.886,11,-3.225,1,0.0655,0.0916,0,0.0734,0.595,143.935,4
27,"5aj0xPGiEUN3aI2oOYu14S","Lee Brice","I Don't Dance",221173,"I Don't Dance (Deluxe Edition)",1,"2014-09-09",16,0.587,0.559,1,-7.742,1,0.0321,0.399,6.69e-06,0.0992,0.19,92.036,4
28,"5fSPbm5lcwtqwXkeQQswW8","Eric Church","Record Year",179346,"Mr. Misunderstood",9,"2015-11-11",10,0.589,0.641,5,-8.12,1,0.0838,0.205,0,0.0864,0.57,160.031,4
29,"045SnNDjOfOLKM5OxARH4g","Dustin Lynch","Small Town Boy",206573,"Small Town Boy",1,"2017-02-17",1,0.553,0.747,9,-5.905,1,0.0292,0.0244,0,0.363,0.711,73.033,4
30,"5S5rw0WLVCAux5B5bWCehK","Rascal Flatts","I Like The Sound Of That",209280,"Rewind",8,"2014-01-01",13,0.611,0.8,0,-5.61,1,0.0377,0.257,0,0.194,0.527,89.974,4
31,"1LZNdHSaGjV2S9q8BrZwnh","Granger Smith","If the Boot Fits",170093,"Remington",4,"2016-03-04",15,0.528,0.928,3,-5.743,1,0.0456,0.0252,2.88e-06,0.0467,0.885,162.069,4
32,"5zGqTc1WQUe8XqqdnrpKTV","Rodney Atkins","Farmer's Daughter",207040,"It's America",12,"2010-06-29",12,0.612,0.791,6,-3.519,1,0.0291,0.224,0,0.112,0.786,133.977,4
33,"1soxUgYIZb1qx1c7o1Lc7z","Dierks Bentley","Drunk On A Plane",254466,"RISER",6,"2014-01-01",12,0.423,0.73,9,-5.566,1,0.032,0.00495,1.13e-05,0.238,0.66,205.972,4
34,"6aUhfNWYnMThF3TGtuYUUu","Randy Houser","How Country Feels",185906,"How Country Feels",9,"2013-01-22",15,0.678,0.839,7,-3.617,1,0.0394,0.0379,0,0.0742,0.772,104.952,4
35,"1TKlBK9cSrM5u4CiL4SETS","Eric Church","Talladega",262280,"The Outsiders",5,"2014-01-01",12,0.586,0.677,1,-8.343,1,0.0294,0.043,0.0936,0.0884,0.562,144.001,4
36,"0yD66650JxhqKbW76C2qCo","Luke Bryan","Country Girl (Shake It For Me)",225560,"Tailgates & Tanlines",1,"2011-08-09",13,0.645,0.904,2,-4.532,1,0.0462,0.0293,0,0.0834,0.671,105.97,4
37,"5kjyiH6but1t2UDXq15aeS","Zac Brown Band","Toes",262773,"The Foundation",1,"2008-11-17",12,0.8,0.759,11,-5.398,1,0.0378,0.655,0,0.0897,0.821,129.979,4
38,"1dgWTMoHwTUnQhOQ8SR5fV","Kenny Chesney","American Kids",182960,"The Big Revival",4,"2014-09-22",11,0.782,0.589,0,-7.37,1,0.0803,0.0476,5.84e-06,0.0366,0.849,85.022,4
39,"6se4sK4ZbkNgOJUkmszbxX","The Osborne Brothers","Rocky Top",161226,"From Rocky Top to Muddy Bottom: The Songs of Boudleaux and Felice Bryant",1,"2008-05-30",20,0.551,0.557,4,-8.514,1,0.0298,0.14,0.000129,0.333,0.93,156.805,4
40,"7f08qp3HROTkfrtNpiYGGo","Jon Pardi","Dirt On My Boots",201893,"California Sunrise",6,"2016-05-13",12,0.683,0.796,11,-4.179,1,0.0285,0.111,0,0.197,0.531,90.031,4
41,"4D8uIY6Wzj7dJDaw0dW0UF","Montgomery Gentry","Something to Be Proud Of",256600,"You Do Your Thing",1,"2004-05-18",12,0.645,0.693,0,-6.481,1,0.0344,0.0811,1.22e-05,0.175,0.553,97.555,4
42,"0dbzWSYpMcRtwjI1S7Pkql","Luke Bryan","Huntin', Fishin' And Lovin' Every Day",278613,"Kill The Lights (Deluxe)",12,"2015-08-07",16,0.543,0.81,0,-4.275,1,0.0368,0.14,1.23e-05,0.145,0.395,76.978,4
43,"5kNe7PE09d6Kvw5pAsx23n","Thomas Rhett","Die A Happy Man",227426,"Tangled Up",4,"2015-01-01",13,0.595,0.389,2,-9.245,1,0.0349,0.418,1.39e-06,0.116,0.4,166.052,4
44,"4QAXLB2Hkx3n7LbOFxD34h","Lee Brice","Drinking Class",207346,"I Don't Dance (Deluxe Edition)",6,"2014-09-09",16,0.663,0.53,1,-9.763,1,0.0301,0.0886,0,0.154,0.269,109.003,4
45,"1qwnPVOIJjAFfCc40Etb1D","Zac Brown Band","Homegrown",205000,"JEKYLL + HYDE",4,"2015-04-28",16,0.711,0.801,6,-3.742,1,0.029,0.0244,0.000113,0.135,0.956,105.006,4
46,"5HGibWoxnkYSkl6mHmAlOE","Luke Bryan","That's My Kind Of Night",190186,"Crash My Party",1,"2013-01-01",13,0.661,0.751,7,-2.909,1,0.0481,0.0571,0,0.105,0.875,109.995,4
47,"2WKCH4ISejDV9ad7iPp5XU","Dierks Bentley","5-1-5-0",182893,"Home",10,"2012-01-01",12,0.554,0.849,1,-5.181,0,0.0357,0.0246,0.000233,0.31,0.683,116.992,4
48,"5OusUgzHz6Ulb3GZT7WUo5","Rodney Atkins","Watching You",235426,"If You're Going Through Hell",3,"2006-07-18",10,0.625,0.848,2,-4.008,1,0.0314,0.105,0,0.23,0.716,137.993,4
49,"1YhFtqwcN138S6ng3MT1nN","Luke Bryan","Rain Is A Good Thing",176160,"Doin' My Thing",1,"2009-01-01",11,0.622,0.932,11,-4.66,0,0.0498,0.105,2.37e-06,0.328,0.519,108.051,4
50,"5s7m2xNZWgz5FqVSIvJcGA","Big & Rich","Save a Horse (Ride a Cowboy)",200306,"Horse of a Different Color",9,"2004-04-20",13,0.7,0.896,2,-2.276,1,0.191,0.108,0,0.453,0.817,102.065,4
51,"5pyB5WEAEwqwl18UaBLeBl","Justin Moore","Small Town USA",218853,"Justin Moore",2,"2009-01-01",10,0.594,0.601,6,-5.996,1,0.029,0.122,5.69e-06,0.181,0.531,131.931,4
52,"0Ta3jOf8m9yCSWMVwd8Qlf","Craig Morgan","International Harvester",228653,"Little Bit Of Life",2,"2006-10-31",11,0.699,0.837,2,-5.173,1,0.0428,0.103,0,0.231,0.348,95.493,4
53,"3QV7NYkrmV0Q0IHdFJw9hO","Kenny Chesney","She Thinks My Tractor's Sexy",248066,"Everywhere We Go",7,"1999-02-26",11,0.689,0.886,10,-7.066,0,0.0382,0.0664,0,0.278,0.906,122.07,4
54,"45vYrwyBrzq8y2RdEsgjgK","Blake Shelton","Hillbilly Bone (feat. Trace Adkins)",224026,"Loaded: The Best of Blake Shelton",12,"2010-11-08",15,0.603,0.944,7,-4.157,1,0.0481,0.0496,7.23e-05,0.152,0.911,144.026,4
55,"2Fs18NaCDuluPG1DHGw1XG","Rascal Flatts","Life is a Highway",276320,"Me And My Gang",14,"2006-01-01",14,0.582,0.952,5,-3.848,1,0.0731,0.00324,0,0.223,0.655,103.027,4
56,"1xcDKZqyEg1dIgsidluiFP","Lee Greenwood","God Bless The U.S.A.",190240,"Greatest Hits - Volume 2",11,"1988-01-01",11,0.439,0.308,5,-12.378,1,0.0363,0.617,0,0.181,0.198,138.703,4
57,"6aPc6SSWgTsiXrrUpJCPlj","Lee Brice","I Drive Your Truck",234840,"Hard 2 Love",6,"2012-04-24",13,0.51,0.649,11,-6.215,1,0.0348,0.0978,0.00206,0.119,0.118,141.963,4
58,"1nVLAEzhBXMJLR5zAl90Nl","Eli Young Band","Crazy Girl",200706,"Life At Best",2,"2011-01-01",14,0.366,0.651,4,-3.842,1,0.031,0.000415,0.00526,0.271,0.257,151.343,3
59,"0dOg1ySSI7NkpAe89Zo0b9","Bruce Springsteen","Born in the U.S.A.",278680,"Born In The U.S.A.",1,"1984-06-04",12,0.398,0.952,4,-6.042,1,0.061,0.000373,7.75e-05,0.1,0.584,122.093,4
60,"1co0puPTYvqAdUEjFOjne9","Florida Georgia Line","Simple",185200,"Florida Georgia Line",1,"2018-08-24",4,0.375,0.889,3,-3.704,1,0.0991,0.0848,0,0.136,0.881,199.669,4
61,"0Jg602cHeMCnPez9baacIe","Rednex","Cotton Eye Joe",193826,"Sex & Violins",1,"1995-04-03",13,0.738,0.937,9,-7.788,0,0.0668,0.0124,0.00206,0.0338,0.614,131.994,4
62,"0vFMQi8ZnOM2y8cuReZTZ2","Carrie Underwood","Blown Away",240133,"Blown Away",2,"2012-05-01",14,0.531,0.843,9,-2.569,0,0.0429,0.0909,0,0.0283,0.392,136.991,4
63,"3lec3CzDPAxsZokPph5w87","Carrie Underwood","Jesus, Take the Wheel",226493,"Some Hearts",4,"2005-11-14",14,0.359,0.518,2,-3.537,1,0.0302,0.665,0,0.106,0.135,76.572,4
64,"67citk3uzWs5qbaIVKTeg8","Carrie Underwood","Church Bells",193333,"Storyteller",3,"2015-10-23",13,0.575,0.844,3,-1.772,0,0.0633,0.226,0,0.0538,0.542,87.007,4
65,"10RQKVSr4rS0coExTmi4dF","Carrie Underwood","Something in the Water",238173,"Greatest Hits: Decade #1",1,"2014-12-09",25,0.451,0.893,7,-2.721,1,0.0627,0.0243,0,0.0813,0.0971,139.763,4
66,"5mFYtqhN4T2D9IPSaZnVDw","Carrie Underwood","Two Black Cadillacs",297946,"Blown Away",3,"2012-05-01",14,0.555,0.854,5,-4.468,0,0.0609,0.0223,3.95e-06,0.0672,0.448,119.991,4
67,"4KAzYqfcijCSZa2P3etHoM","Jason Aldean","Big Green Tractor",204200,"Wide Open",9,"2009-04-07",11,0.623,0.59,4,-5.014,1,0.028,0.646,0,0.295,0.579,137.071,4
68,"5g15o2Sm55Hn9ShK5yEXgp","Luke Bryan","Kick The Dust Up",190586,"Kill The Lights (Deluxe)",1,"2015-08-07",16,0.597,0.86,1,-2.315,1,0.0461,0.196,0,0.087,0.818,172.064,4
69,"0cV4xwUA4ue2deqq4CZFko","Luke Bryan","I Don't Want This Night To End",219973,"Tailgates & Tanlines",5,"2011-08-09",13,0.616,0.728,9,-4.02,0,0.0278,0.0275,0,0.228,0.375,111.934,4
70,"1PoGWZbJPGmViVi7CYbDUK","Luke Bryan","Drink A Beer",202626,"Crash My Party",6,"2013-01-01",13,0.483,0.431,8,-7.656,1,0.0343,0.836,5.19e-05,0.199,0.296,78.26,4
71,"6qoH2pKeEibNUG1pnJIjmZ","Luke Bryan","Move",227413,"Kill The Lights (Deluxe)",7,"2015-08-07",16,0.57,0.939,5,-0.716,0,0.0789,0.00719,1.08e-06,0.0462,0.801,103.983,4
72,"4i95IcFlxQLIVDlChgAHGU","Blake Shelton","Kiss My Country Ass",252920,"Loaded: The Best of Blake Shelton",13,"2010-11-08",15,0.517,0.846,7,-4.332,1,0.0346,0.0435,0,0.177,0.683,89.912,4
73,"4WygRabom8WGpPb44r40sK","Toby Keith","American Soldier",263333,"Shock 'N Y'all",3,"2003-01-01",12,0.551,0.559,9,-8.238,1,0.0381,0.157,1.29e-05,0.0589,0.3,82.009,4
74,"5jFid6SUnYqohvNvNuZvIz","Rodney Atkins","These Are My People",213653,"If You're Going Through Hell",1,"2006-07-18",10,0.558,0.896,0,-3.687,1,0.0545,0.0316,0,0.528,0.63,90.064,4
75,"3duP6mBVDsHM8ioN7o7dAK","Little Big Town","Boondocks",272346,"The Road To Here",2,"2005-01-01",13,0.41,0.78,9,-5.391,1,0.0332,0.211,0,0.48,0.695,88.016,4
76,"4etE2X6t7GmyiuYLIdI8H5","Craig Morgan","Redneck Yacht Club",230373,"My Kind Of Livin'",8,"2005-03-08",12,0.49,0.817,8,-5.405,1,0.0355,0.455,0,0.0885,0.808,168.115,4
77,"3oW6SWwGqiZSPTiAp7ZQoH","Travis Tritt","It's A Great Day To Be Alive",241533,"Down The Road I Go",4,"2000-10-01",11,0.595,0.653,7,-4.935,1,0.0265,0.246,0,0.264,0.542,128.93,4
78,"7B1QliUMZv7gSTUGAfMRRD","Tim McGraw","Live Like You Were Dying",300333,"Live Like You Were Dying",5,"2004-08-17",16,0.416,0.546,7,-7.728,1,0.0297,0.492,0,0.0845,0.418,159.929,4
79,"0nDjzA4kns1QOWPXuOn6Xw","Tim McGraw","Where The Green Grass Grows",201600,"Everywhere",1,"1997-06-03",11,0.479,0.698,7,-7.914,1,0.0277,0.198,0,0.126,0.673,159.699,4
80,"6EGAfJaLUFzhS4zRBIEQ2J","Jason Aldean","You Make It Easy",196800,"Rearview Town",4,"2018-04-13",15,0.375,0.574,7,-5.305,1,0.0315,0.143,0,0.11,0.406,132.025,3
81,"7K0lR5Ngf5jkOWt1g6ut6l","Jason Aldean","Girl Like You",193066,"Rearview Town",3,"2018-04-13",15,0.543,0.88,3,-4.204,0,0.0365,0.035,0.000227,0.304,0.483,144.057,4
82,"0adTN3vBO3pimO3yfxm9vg","Jason Aldean","Dirt Road Anthem",229413,"My Kinda Party",2,"2010-11-02",15,0.677,0.739,2,-5.068,1,0.0352,0.32,2.36e-06,0.12,0.658,127.04,4
83,"4J37kFNUhbX5NV1VFdVLSH","Jason Aldean","Burnin' It Down",219277,"Old Boots, New Dirt",3,"2014-09-17",15,0.676,0.795,6,-6.648,1,0.0485,0.307,6.61e-06,0.0971,0.585,135.924,4
84,"4iKllrl3J1GMiFocU57cN4","Jason Aldean","My Kinda Party",284973,"My Kinda Party",4,"2010-11-02",15,0.414,0.902,0,-4.256,0,0.0669,0.0174,7.52e-06,0.313,0.532,176.926,4
85,"5aPGxR67OwJmu1eEsErW5e","Jason Aldean","Lights Come On",194506,"They Don't Know",1,"2016-10-07",15,0.567,0.839,6,-4.048,0,0.0698,0.0489,0,0.103,0.903,160.062,4
86,"1rOoICPf1JpkRpX5PNuJt2","Jason Aldean","Take a Little Ride",187613,"Night Train",7,"2012-10-16",15,0.464,0.853,2,-3.767,1,0.0417,0.055,0,0.191,0.76,163.934,4
87,"1VN6TvmHTIWvLzBAOmre6P","Eric Church","The Outsiders",252893,"The Outsiders",1,"2014-01-01",12,0.409,0.8,7,-5.216,1,0.0746,0.272,5.29e-05,0.092,0.321,159.943,4
88,"3mSAhPW73pyeKoquI7E8B3","Justin Moore","Backwoods",155893,"Justin Moore",3,"2009-01-01",10,0.497,0.932,8,-5.029,1,0.0527,0.0678,2.5e-06,0.116,0.774,157.884,4
89,"3DGKj5YCr3o9UD4djXUbvI","Brooks & Dunn","Play Something Country",194826,"The Collection",1,"1991",134,0.692,0.944,7,-2.846,1,0.0322,0.0817,0,0.574,0.774,115.148,4
90,"539dFCMA8lfEElDPgGpcIB","Luke Bryan","All My Friends Say",242800,"I'll Stay Me",1,"2007-01-01",11,0.683,0.9,9,-4.422,1,0.0333,0.0439,0,0.177,0.962,117.036,4
91,"48tAdjG4ng2JfECa7OQujk","Brantley Gilbert","The Weekend",187760,"The Devil Don't Sleep",3,"2017-01-27",16,0.511,0.812,6,-4.763,0,0.0464,0.0496,1.64e-06,0.0829,0.692,81.992,4
92,"69ku805AjIcFQh0IfkGohf","Toby Keith","Should've Been A Cowboy",211306,"Toby Keith",1,"1993-01-01",10,0.619,0.672,7,-7.786,1,0.0356,0.471,3.15e-06,0.211,0.694,133.402,4
93,"3JUT20Ycry03hgIbMSSBzV","Brantley Gilbert","Small Town Throwdown",201680,"Just As I Am",9,"2014-01-01",11,0.555,0.862,7,-3.866,1,0.0379,0.0252,0,0.0559,0.692,98.036,4
94,"0HZUp8fm9fh1Mitqx4CIOr","Brantley Gilbert","Bottoms Up",220200,"Just As I Am",3,"2014-01-01",11,0.474,0.857,7,-5.734,1,0.0435,0.113,0,0.134,0.545,170.006,4
95,"6naYpFIKihKbGg6lGxpveI","Granger Smith","Backroad Song",236786,"Remington",1,"2016-03-04",15,0.488,0.833,11,-6.571,1,0.0437,0.0352,0.0172,0.34,0.751,174.006,4
96,"11fWR3u9wjDMW4oVDbUbyT","Granger Smith","Happens Like That",171493,"When The Good Guys Win",4,"2017-10-27",14,0.557,0.807,7,-5.428,1,0.0825,0.189,0,0.234,0.578,81.045,4
97,"1kFBLqkTuNKlspkJ1EOGjN","Chris Janson","Drunk Girl",207266,"EVERYBODY",12,"2017-09-22",12,0.485,0.306,0,-8.431,1,0.0409,0.794,0,0.122,0.224,203.729,4
98,"3N2AIfVOq6NiTcWHIP4Oco","Mitchell Tenpenny","Drunk Me",213023,"Mitchell Tenpenny - EP",2,"2018-02-23",5,0.386,0.799,2,-3.789,1,0.0555,0.201,0,0.103,0.391,86.333,4
99,"4ly1QBXEwYoDmje9rmEgC4","Jon Pardi","Head Over Boots",202346,"California Sunrise",3,"2016-05-13",12,0.563,0.688,7,-4.474,1,0.0262,0.0763,0,0.0863,0.622,108.008,4
100,"6GsAD8PgHxmEuIPTG8GP3M","Thomas Rhett","It Goes Like This",186080,"It Goes Like This",5,"2013-01-01",12,0.543,0.837,11,-6.448,1,0.0608,0.117,0,0.0872,0.506,168.056,4
101,"0qup7d7G2WffwARHKrqT2x","Keith Urban","Somebody Like You",323466,"Greatest Hits",17,"2007-01-01",18,0.646,0.887,9,-4.452,1,0.0381,0.127,0.000259,0.0698,0.522,110.963,4
102,"0Utg7sirTPqrs6Cx0FbriQ","Cole Swindell","Chillin' It",196746,"Cole Swindell",2,"2014-02-18",12,0.576,0.849,9,-3.057,1,0.0386,0.511,3.89e-05,0.109,0.666,137.982,4
103,"1YYhDizHx7PnDhAhko6cDS","John Denver","Take Me Home, Country Roads",190160,"Poems, Prayers and Promises",7,"1971",12,0.462,0.395,9,-9.376,1,0.0264,0.758,0,0.121,0.625,82.259,4
104,"6GBndDk0OEpDkmKoSBJyyK","Kane Brown","Lose It",178732,"Lose It",1,"2018-06-07",1,0.549,0.869,4,-4.905,0,0.0289,0.00261,1.77e-06,0.29,0.433,91.988,4
105,"0OWZFobGSIW9GrSlQ9C5pc","Thomas Rhett","Marry Me",205453,"Life Changes",5,"2017-09-08",14,0.333,0.412,3,-8.633,1,0.029,0.0977,0,0.113,0.474,85.028,4
106,"4Qx06Fzsepmdz2NGSWfZck","Luke Combs","Beautiful Crazy",193200,"Beautiful Crazy",1,"2018-05-04",1,0.552,0.402,11,-7.431,1,0.0262,0.676,0,0.0928,0.382,103.313,4
107,"4a1oIihVt6xSnDRpgX387M","Dierks Bentley","Burning Man",238493,"The Mountain",1,"2018-06-08",13,0.609,0.807,5,-7.221,1,0.0972,0.00403,5.42e-06,0.0926,0.492,119.073,4
108,"5HnXcJJbNXQQ7tRlQ9VN1v","Dustin Lynch","Good Girl",189533,"Good Girl",1,"2018-05-05",1,0.711,0.696,7,-5.05,1,0.0871,0.16,0,0.17,0.694,80.512,4
109,"3K1FNPp9ADkE4ouWez9du2","Granger Smith","You're In It",196426,"When The Good Guys Win",2,"2017-10-27",14,0.582,0.885,11,-5.45,1,0.0385,0.0306,0,0.378,0.593,112.027,4
110,"77a5Eu7lC3tG0Sukt2O91U","LANCO","Born to Love You",230013,"Hallelujah Nights",1,"2018-01-19",11,0.659,0.902,7,-6.192,1,0.0296,0.131,9.89e-05,0.0574,0.81,124.988,4
111,"4BXkf6yww23Vdju7E1fUrn","Brad Paisley","Whiskey Lullaby (feat. Alison Krauss)",259453,"Hits Alive",12,"2010-11-02",25,0.587,0.35,2,-10.954,1,0.0318,0.74,0,0.156,0.17,74.479,4
112,"22dv1oPQxDOkkikJIEp9s7","Chase Rice","Ready Set Roll",190240,"Ready Set Roll",1,"2013-10-15",6,0.556,0.822,0,-4.365,1,0.0582,0.00786,0,0.668,0.797,156.038,4
113,"2dwoqUYTy6SOy1dFqcTndC","Jason Aldean","Drowns The Whiskey (feat. Miranda Lambert)",202066,"Rearview Town",7,"2018-04-13",15,0.552,0.698,8,-4.817,1,0.0306,0.294,0.000103,0.0905,0.6,90.006,4
114,"53yTYusPQJ1AApL1hi0Dnc","Luke Bryan","Sunrise, Sunburn, Sunset",216093,"What Makes You Country",5,"2017-12-08",15,0.471,0.897,9,-2.27,1,0.0597,0.193,0,0.196,0.719,159.958,4
115,"2oPCR02nduYVpj7CTfsA0d","Russell Dickerson","Blue Tacoma",212066,"Yours",3,"2017-10-13",12,0.455,0.897,9,-4.879,1,0.0403,0.0183,0,0.174,0.728,160.139,4
116,"42fw0rxRO2xbesF6mJfd4Y","Dan + Shay","Tequila",196746,"Dan + Shay",2,"2018-06-22",11,0.489,0.581,11,-5.731,1,0.0281,0.0312,0,0.132,0.494,86.016,4
117,"2QVzUws1l5mzZ4v46tGHrC","Canaan Smith","Love You Like That",203053,"Bronco",3,"2015-06-23",11,0.559,0.766,11,-5.056,1,0.0295,0.0107,6.98e-05,0.194,0.723,145.26,4
118,"4iLPK8QnOvqm0Azbsk2GDn","Billy Currington","Don't It",189000,"Summer Forever",1,"2015-06-02",12,0.571,0.826,1,-4.475,1,0.0362,0.0446,0,0.343,0.713,90.966,4
119,"6jRcSR1kOPWJYisvkFfjUV","Michael Ray","Kiss You in the Morning",181400,"Michael Ray",1,"2015-08-07",12,0.557,0.909,11,-3.405,1,0.0423,0.00769,0,0.317,0.857,152.13,4
120,"2BgunkkepMPFpArQj1Dx5s","Rodney Atkins","Caught Up In The Country",160991,"Caught Up In The Country",1,"2018-03-23",1,0.603,0.807,7,-6.999,1,0.045,0.0123,0,0.539,0.685,124.099,4
121,"7zVCrzzEJU7u24sbJPXA5W","Kane Brown","What Ifs (feat. Lauren Alaina)",188253,"Kane Brown",2,"2016-12-02",11,0.612,0.799,10,-4.603,1,0.0275,0.00898,0,0.172,0.687,125.976,4
122,"5C6uh95eAL0RBTSGXKQwvk","Josh Turner","Hometown Girl",215080,"Deep South",3,"2017-03-10",11,0.502,0.792,3,-5.473,0,0.0335,0.304,0.0385,0.143,0.44,155.902,4
