"n","id","artist_name","name","duration_ms","album_name","track_number","release_date","total_tracks","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
17,"35fC3Wq3slX4OBfyvBVmHm","Santana","Samba Pa Ti",284800,"Abraxas",7,"1970-09-23",9,0.407,0.358,9,-12.908,0,0.0343,0.829,0.424,0.0827,0.267,92.292,4
18,"2WbfcArcwBvsbnikIQdBN9","Led Zeppelin","Dazed and Confused - Remaster",388667,"Led Zeppelin (Deluxe Edition)",4,"1969-01-12",17,0.24,0.546,2,-10.026,1,0.0548,0.0898,0.00648,0.0898,0.429,181.373,4
19,"2OluDx9K9BUT7I38AtYjND","The Doors","Break on Through (To the Other Side) - 2017 Remaster",149400,"The Doors (50th Anniversary Deluxe Edition)",1,"2017-03-31",30,0.302,0.688,2,-12.537,1,0.0503,0.149,0,0.101,0.81,183.763,4
20,"0Nn3zTnQW0vpWedAMlImui","Bee Gees","You Should Be Dancing - 2007 Remastered Version Saturday Night Fever",257480,"Saturday Night Fever [The Original Movie Soundtrack]",13,"1978-01-05",17,0.703,0.857,0,-6.433,1,0.03,0.0248,0.491,0.645,0.963,122.928,4
21,"6ULwhgWVBtR6wcv4zaXkHv","Thin Lizzy","Jailbreak",240600,"Jailbreak (Deluxe Edition)",1,"1976",20,0.613,0.769,3,-9.133,1,0.119,0.184,0.000614,0.473,0.707,145.108,4
22,"26mDHU83VNkobcI4BadliK","Hot Chocolate","You Sexy Thing - Single Version",242906,"Their Greatest Hits",1,"1993",19,0.788,0.728,5,-5.912,1,0.0571,0.533,0.00165,0.218,0.963,105.881,4
23,"6pyex9B1kBoRIuabBAc4m8","Elvis Presley","Jailhouse Rock",155333,"Elvis 30 #1 Hits",8,"2002-09-24",31,0.635,0.672,10,-6.788,0,0.0637,0.314,5.03e-06,0.0688,0.895,166.903,4
24,"4sUlsy0tPv9n5nqrqeA0lE","Heart","Magic Man",328360,"Dreamboat Annie",1,"1975",10,0.435,0.444,7,-12.816,0,0.0336,0.159,0.000705,0.457,0.734,103.818,4
25,"2ACjOtICHXrAlP3ijVMSvb","The Righteous Brothers","Unchained Melody",215853,"Rock N' Roll Legends",2,"2008-01-01",20,0.349,0.326,0,-10.749,1,0.0286,0.512,0.00144,0.665,0.297,98.888,3
26,"6vJOIceKD99L4Z2jyOE1m7","Neil Sedaka","Oh! Carol",136040,"The Very Best Of Neil Sedaka",3,"2001-08-06",14,0.588,0.736,8,-7.76,0,0.0461,0.764,0,0.351,0.83,132.732,4
27,"40fD7ct05FvQHLdQTgJelG","Bobby Darin","Splish Splash",131719,"Bobby Darin",1,"1958",12,0.645,0.943,0,-1.526,1,0.0393,0.385,0,0.37,0.965,147.768,4
28,"4alHo6RGd0D3OUbTPExTHN","The Cars","Just What I Needed",225626,"The Cars",3,"1978-06-06",9,0.619,0.579,4,-9.307,1,0.0473,0.0152,6.4e-05,0.0858,0.69,127.224,4
29,"7s25THrKz86DM225dOYwnr","Aretha Franklin","Respect",147600,"I Never Loved a Man the Way I Love You",1,"1967-03-10",14,0.805,0.558,0,-5.226,1,0.041,0.164,2.2e-05,0.0546,0.965,114.95,4
30,"3AhXZa8sUQht0UEdBJgpGc","Bob Dylan","Like a Rolling Stone",369600,"Highway 61 Revisited",1,"1965-08-30",9,0.482,0.721,0,-6.839,1,0.0321,0.731,0,0.189,0.557,95.263,4
31,"2q2XL8HxichNMAk1fBwTHI","The Chordettes","Lollipop",132306,"Mr Sandman",1,"2011-02-28",16,0.661,0.498,7,-10.297,0,0.157,0.722,0.00229,0.138,0.85,143.126,4
32,"28gb7qJxTfaBktQKwqZ5Fw","Dick Dale","Let's Go Trippin'",131080,"Surfer's Choice",12,"1962",12,0.651,0.877,4,-4.307,1,0.0354,0.485,0.848,0.321,0.984,147.916,4
33,"5j7T9ThNlDKXxTMX2pGcns","ABBA","Chiquitita",328000,"Voulez-Vous",8,"1979",13,0.51,0.558,9,-8.121,1,0.0351,0.73,3.93e-06,0.29,0.342,84.238,4
34,"38xVeIx8v0YZAvCX2r57yT","KISS","Detroit Rock City",318200,"Destroyer (Remastered Version)",1,"1976-03-15",10,0.466,0.922,0,-7.847,0,0.157,0.0871,0.000838,0.69,0.201,91.122,4
35,"5t9KYe0Fhd5cW6UYT4qP8f","The Beach Boys","Good Vibrations - Remastered 2001",219026,"Smiley Smile (Remastered)",6,"1967-09-18",11,0.396,0.473,10,-7.67,0,0.0345,0.326,0.000124,0.109,0.385,133.449,4
36,"5pEdaQSuxgifkk9syZvA6k","Rainbow","Man On The Silver Mountain",277226,"Ritchie Blackmore's Rainbow (Remastered)",1,"1975-01-01",9,0.594,0.77,7,-8.267,0,0.032,0.276,0.0176,0.0575,0.827,107.484,4
37,"3VbGCXWRiouAq8VyMYN2MI","The Beatles","Love Me Do - Remastered 2009",141693,"Please Please Me (Remastered)",8,"1963-03-22",14,0.52,0.829,0,-6.228,1,0.0806,0.386,6.2e-05,0.227,0.744,147.997,4
38,"46eu3SBuFCXWsPT39Yg3tJ","Michael Jackson","Don't Stop 'Til You Get Enough",365466,"Off the Wall",1,"1979-08-10",10,0.878,0.821,11,-9.875,1,0.089,0.126,0.0461,0.183,0.947,118.881,4
39,"6cuKJ1bFFy4OjfkCI9YBqc","10cc","I'm Not In Love",366640,"The Original Soundtrack",2,"1975",10,0.404,0.523,4,-15.7,1,0.0575,0.685,0.000498,0.282,0.164,133.738,4
40,"7x02qmf2UVRUfqhlB12yOr","Gary Glitter","Rock & Roll Part 2",193253,"Glitter",12,"1973-01-01",17,0.71,0.314,11,-10.666,0,0.082,0.000292,0.785,0.0857,0.401,129.124,4
41,"4vpeKl0vMGdAXpZiQB2Dtd","Jefferson Airplane","White Rabbit",150640,"Surrealistic Pillow",10,"1967",17,0.551,0.293,2,-12.503,1,0.0272,0.486,0.000273,0.0864,0.322,106.798,4
42,"0iA3xXSkSCiJywKyo1UKjQ","The Kingsmen","Louie Louie",165381,"The Best of The Kingsmen",1,"2006-01-31",26,0.623,0.709,1,-9.818,0,0.0636,0.102,0,0.0967,0.948,122.394,4
43,"4z7maGZkAonDlXlwo8q69f","Rod Stewart","Da Ya Think I'm Sexy?",331333,"Blondes Have More Fun",1,"1978-11-24",10,0.715,0.689,2,-8.065,0,0.029,0.0143,0.000192,0.111,0.852,111.504,4
44,"3DHWxeWr4uh19MklWjLpR0","Foreigner","Feels like the First Time",192520,"Foreigner (Expanded)",1,"1977-03-08",14,0.544,0.812,5,-6.716,0,0.0811,0.0599,0,0.456,0.471,109.593,4
45,"6hTcuIQa0sxrrByu9wTD7s","Bruce Springsteen","Born to Run",269920,"Born To Run",5,"1975-08-25",8,0.27,0.944,4,-4.199,1,0.0975,0.00501,2.05e-05,0.116,0.606,146.347,4
46,"7Dj8lFTfYuB3CkfNpRuWjb","The Who","My Generation - Shel Talmy Stereo Version",201800,"My Generation (Deluxe Edition)",6,"1965-12-03",30,0.444,0.896,0,-5.704,0,0.0523,0.00875,4.55e-05,0.294,0.804,94.991,4
47,"7av4raprzW2bWdjyAaH3hz","Marvin Gaye","What's Going On",232600,"What's Going On - 40th Anniversary (Super Deluxe)",1,"1971-05-21",46,0.245,0.833,1,-5.555,0,0.116,0.105,0,0.359,0.805,205.375,4
48,"11cPCZ0BYWJmAm7N8eDxtu","Chuck Berry","Johnny B. Goode - Single Version",161560,"Berry Is On Top (Reissue)",6,"1959-01-01",12,0.529,0.806,10,-9.027,1,0.0806,0.747,0.00011,0.305,0.971,167.43,4
49,"4ndDbJMhpCC5DxFOzMmf4t","Nazareth","Love Hurts",232120,"Hair Of The Dog",8,"2010-02-15",16,0.442,0.491,7,-6.598,1,0.0246,0.00693,0.00491,0.114,0.125,79.954,4
50,"52VIdyKqp1pJRSyUQaxKUA","Bread","Everything I Own",187000,"Baby I'm-a Want You",4,"1972",12,0.365,0.338,2,-13.406,1,0.0322,0.735,0,0.104,0.446,79.241,4
51,"6vvmYYUvGXtZLU8msxKvzF","Ramones","I Wanna Be Sedated - 2002 Remaster",149466,"Road to Ruin (Expanded 2005 Remaster)",7,"1978-09-22",17,0.597,0.96,11,-3.989,1,0.042,0.169,2.89e-05,0.105,0.937,163.017,4
52,"5N8Uh49f1evBiBEzwHcmRW","Creedence Clearwater Revival","Up Around The Bend",161466,"Cosmo's Factory (40th Anniversary Edition)",7,"1970-07-25",14,0.583,0.85,2,-6.043,1,0.0344,0.065,0.63,0.305,0.842,130.271,4
53,"65uzzraBcb1BE3BiYEztd7","Peter Frampton","Show Me The Way - Live",272466,"Frampton Comes Alive! (Deluxe Edition)",4,"1976",19,0.558,0.944,2,-4.257,1,0.045,0.0327,0,0.947,0.483,132.442,4
54,"4gY07XF01nlzHuPNlMFnBe","ZZ Top","It's Only Love",263626,"Tejas",1,"1976-11-29",10,0.7,0.592,11,-10.434,1,0.0681,0.108,0.0184,0.118,0.906,109.847,4
55,"5kmbjtL6Q6zkATdc02JJHv","Derek & The Dominos","Layla - 40th Anniversary Version / 2010 Remastered",423840,"Layla And Other Assorted Love Songs (Super Deluxe Edition)",13,"1970-11-01",40,0.404,0.903,1,-3.88,1,0.0668,0.577,0.297,0.287,0.498,115.672,4
56,"5JerXJKy0kdMt61ioD2tp9","AC/DC","Whole Lotta Rosie",333786,"Let There Be Rock",8,"1977-03-21",8,0.299,0.83,9,-4.439,1,0.0707,0.00138,0.478,0.0998,0.457,158.802,4
57,"1fDsrQ23eTAVFElUMaf38X","Don McLean","American Pie",516893,"American Pie",1,"1971",10,0.531,0.481,4,-11.709,0,0.06,0.699,0,0.0842,0.491,138.45,4
58,"7fSGbZLhWlAiCC3HDPAULu","The Rolling Stones","(I Can't Get No) Satisfaction - Mono Version / Remastered 2002",222813,"Out Of Our Heads (Remastered)",7,"1965-07-30",12,0.725,0.853,2,-7.842,1,0.0353,0.0348,0.127,0.196,0.904,136.282,4
59,"6DXgHLHzB1mFIaoP2KK1hC","Canned Heat","On The Road Again",296026,"Boogie With Canned Heat",3,"1968-01-01",10,0.545,0.392,9,-12.892,1,0.0342,0.817,0.0157,0.294,0.236,129.297,4
60,"1kryOQS9FQDsbYY4db5zS5","Stevie Wonder","Superstition",266160,"Talking Book (Reissue)",6,"1972-10-28",10,0.609,0.657,1,-11.496,1,0.0695,0.0308,0.00221,0.071,0.872,100.607,4
61,"03Z8RmEoNzAbmxTM59m336","Cream","Sunshine Of Your Love",250400,"Disraeli Gears (Deluxe Edition)",2,"1967-11-02",40,0.683,0.594,2,-8.289,1,0.0347,0.385,8.61e-05,0.121,0.734,115.099,4
62,"726FgclkT72fRnkuz6bmD2","Led Zeppelin","Living Loving Maid (She's Just a Woman) - Remaster",159300,"Led Zeppelin II (Deluxe Edition)",6,"1969-10-22",17,0.475,0.808,9,-8.859,1,0.037,0.000942,7.97e-06,0.146,0.896,152.098,4
63,"5qBqBdfTEIWJwAS0Jm2F5R","The Byrds","Turn! Turn! Turn! (To Everything There Is a Season)",229360,"Turn! Turn! Turn!",1,"1965-12-06",18,0.451,0.818,2,-8.124,1,0.0439,0.135,2.92e-05,0.052,0.755,124.532,4
64,"7DD7eSuYSC5xk2ArU62esN","The Beatles","Help! - Remastered 2009",139560,"Help! (Remastered)",1,"1965-08-06",14,0.534,0.725,6,-7.576,0,0.0332,0.188,0,0.0994,0.763,95.003,4
65,"6fybp4N6eW3bsFAvARxyVe","Van Halen","Ain't Talkin' 'Bout Love - 2015 Remaster",227800,"Van Halen (Remastered)",4,"1978-02-10",11,0.518,0.938,8,-5.964,0,0.0416,0.021,0.000305,0.288,0.71,139.138,4
66,"168aH14F9ef3ymWlk9vWHp","Grand Funk Railroad","Closer To Home (I'm Your Captain) - Remastered",608933,"Closer To Home (Remastered)",8,"1970",12,0.299,0.6,7,-9.795,1,0.0329,0.31,0.014,0.104,0.483,94.356,4
67,"1mXXf7ztqQei9qUXliL19H","Cheap Trick","I Want You to Want Me",191226,"In Color",4,"1977-09",15,0.806,0.462,2,-12.778,1,0.0298,0.78,0.0134,0.15,0.736,92.726,4
68,"3yOdfq8eIpBrotqjL5gfdh","Queen","Bohemian Rhapsody - Remastered 2011",354320,"A Night At The Opera (Deluxe Edition 2011 Remaster)",11,"1975-11-21",18,0.411,0.404,0,-9.928,0,0.0511,0.271,0,0.3,0.226,71.068,4
69,"4Y4Gd3ty8uut6Qw43c7yJc","Otis Redding","(Sittin' On) the Dock of the Bay",166826,"The Dock of the Bay",1,"1968-02-23",11,0.484,0.312,2,-13.522,1,0.0535,0.724,1.65e-06,0.0601,0.598,205.981,4
70,"6RrXd9Hph4hYR4bf3dbM6H","The Temptations","My Girl",165000,"The Temptations Sing Smokey",3,"1965-01-01",12,0.572,0.418,0,-10.738,1,0.0349,0.635,0,0.0961,0.694,104.566,4
71,"5iuXctBInQxlV3cXDtj7cL","Bill Haley & His Comets","(We're Gonna) Rock Around the Clock",133015,"Rock Around the Clock (Original Album Plus Bonus Tracks 1957)",1,"2013-05-02",14,0.804,0.714,1,-10.69,0,0.115,0.39,8.7e-06,0.307,0.83,89.737,4
72,"27m1soUndRthrAA1ediOXn","Marvin Gaye","I Heard It Through The Grapevine",195266,"I Heard It Through The Grapevine / In The Groove (Stereo)",4,"1969-08-26",12,0.729,0.324,8,-13.017,0,0.0393,0.195,0,0.101,0.679,116.855,4
73,"63OFKbMaZSDZ4wtesuuq6f","Steppenwolf","Born To Be Wild",210373,"Steppenwolf",5,"1968",11,0.438,0.71,2,-12.412,1,0.0919,0.262,0.537,0.221,0.53,145.928,4
74,"5yQ9iMZXGcr5rlO4hoLsP4","Ray Charles","What'd I Say, Pt. 1 & 2",307053,"What'd I Say",1,"1959",10,0.54,0.681,4,-5.44,1,0.0508,0.808,0,0.162,0.794,88.385,4
75,"4M1tFaupigR42VpMwG0nZq","Donna Summer","Last Dance - Single Version",199800,"Walk Away - Collector's Edition The Best Of 1977-1980",6,"1980-01-01",9,0.53,0.717,3,-10.304,1,0.0598,0.13,0.000266,0.218,0.231,126.281,4
76,"5EWPGh7jbTNO2wakv8LjUI","Lynyrd Skynyrd","Free Bird",547106,"Pronounced' Leh-'Nerd 'Skin-'Nerd",8,"1973-01-01",8,0.249,0.834,0,-8.21,1,0.0577,0.0738,9.48e-05,0.0924,0.338,118.223,4
77,"0vm4lRSUPqy0goQZYVwGlj","The Crickets","That'll Be The Day",135453,"The Chriping Crickets",7,"2004-01-01",16,0.636,0.597,9,-7.271,1,0.035,0.334,0,0.296,0.914,126.751,4
78,"2tbdjsdJ9xtyunKnZBkGxF","Yusuf / Cat Stevens","Father And Son",221000,"Tea For The Tillerman (Remastered)",10,"1970-11-23",11,0.497,0.343,7,-11.482,1,0.0369,0.615,3.13e-05,0.099,0.407,136.118,4
79,"63rva3TBizr6x1Yp5uwKfD","The Mamas & The Papas","California Dreamin'",157960,"If You Can Believe Your Eyes And Ears",7,"1966-03",12,0.554,0.667,1,-10.226,0,0.0342,0.628,0,0.0486,0.597,112.749,4
80,"6USIr8hss3pdBvqC2AI0BK","Van Morrison","Brown Eyed Girl",183306,"Blowin' Your Mind!",1,"1967-09",13,0.491,0.583,7,-10.964,1,0.0376,0.182,0,0.407,0.907,150.572,4
81,"7jGzYUZ2Bgg8BDfYlQRfn8","The Troggs","Wild Thing",155333,"From Nowhere",1,"1966-07-25",16,0.453,0.658,9,-13.472,1,0.0539,0.741,0.0288,0.135,0.761,203.871,4
82,"37i6z8YqVrsvlx9jAaF6Rf","Crosby, Stills & Nash","Suite: Judy Blue Eyes - 2005 Remaster",444053,"Crosby, Stills & Nash",1,"1969-05-29",10,0.451,0.364,9,-13.126,1,0.0436,0.469,0,0.197,0.298,154.206,4
83,"4mn2kNTqiGLwaUR8JdhJ1l","The Animals","House of the Rising Sun",269906,"The Singles Plus",3,"1987-10-19",20,0.316,0.484,9,-9.11,0,0.0308,0.000334,0.00445,0.0912,0.299,117.363,3
84,"1qRA5BS78u3gME0loMl9AA","Buffalo Springfield","For What It's Worth",153693,"Buffalo Springfield",1,"1966-12-05",12,0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,4
85,"7cDxjUnMitNKQC5c8RQUko","Santana","Black Magic Woman / Gypsy Queen",319773,"Abraxas",2,"1970-09-23",9,0.464,0.462,2,-14.093,0,0.0406,0.657,0.527,0.124,0.557,124.033,4
86,"5jzma6gCzYtKB1DbEwFZKH","The Clash","London Calling - Remastered",200480,"London Calling (Remastered)",1,"1979",19,0.651,0.801,0,-7.34,1,0.0514,0.123,0,0.0825,0.776,133.769,4
87,"2bzgKuK3pVez40qUvo8sYr","Eagles","Heartache Tonight - 2013 Remaster",265678,"The Long Run (2013 Remaster)",6,"1979",10,0.81,0.511,0,-6.454,1,0.0409,0.0778,0.000226,0.0714,0.858,113.153,4
88,"2G2YzndIA6jeWFPBXhUjh5","The Ronettes","Be My Baby",160906,"Be My Baby: The Very Best of The Ronettes",2,"2011-02-22",18,0.511,0.769,4,-7.032,1,0.042,0.181,0,0.0921,0.818,129.657,4
89,"70C4NyhjD5OZUMzvWZ3njJ","Billy Joel","Piano Man",339000,"Piano Man (Legacy Edition)",2,"1973-11-07",33,0.331,0.55,0,-6.483,1,0.0272,0.605,3.96e-06,0.192,0.429,177.734,3
90,"42fKW5Jhj97tj0TwE1pK8u","Patsy Cline","Crazy - Single Version",164573,"Showcase",7,"1963-01-01",12,0.471,0.021,10,-24.385,1,0.0366,0.931,1.19e-06,0.103,0.356,107.765,3
91,"2EqlS6tkEnglzr7tkKAAYD","The Beatles","Come Together - Remastered 2009",259946,"Abbey Road (Remastered)",1,"1969-09-26",17,0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007,4
92,"6jNi0f1BiBHi1lK1Wwy9Oi","Grateful Dead","Truckin' - 2001 Remaster",302200,"American Beauty",10,"1970-06-01",10,0.639,0.608,9,-13.547,1,0.0541,0.102,0.000578,0.305,0.819,127.055,4
93,"7kWhdmRYv8CqbWNqfojqVd","Al Green","Let's Stay Together",199400,"Let's Stay Together",1,"1972-01-31",9,0.746,0.273,5,-16.63,1,0.0573,0.606,0.0168,0.0526,0.502,101.952,4
94,"4hEk1CHls2JEDbKIKy8JxV","Supertramp","Breakfast In America - Remastered",159346,"Breakfast In America (Deluxe Edition)",4,"1979-03-29",22,0.532,0.663,0,-5.886,0,0.0292,0.425,1.07e-06,0.0734,0.756,75.14,4
95,"5h0b1G7VLOqTiiVgVKywFG","Roy Orbison","In Dreams",169160,"In Dreams",1,"1963-07",16,0.495,0.435,0,-9.99,1,0.0286,0.67,0.00038,0.13,0.71,108.189,4
96,"6bJuuCtXYiwOcKT9s8uRh8","The Beach Boys","California Girls - Remix/Remastered 2001",160360,"Summer Days (And Summer Nights) [Remastered]",7,"1965-07-05",12,0.503,0.62,11,-6.069,1,0.0296,0.471,0,0.159,0.713,116.599,4
97,"38zsOOcu31XbbYj9BIPUF1","Elton John","Your Song",241786,"Elton John",1,"1970-04-10",30,0.554,0.315,3,-11.028,1,0.0298,0.828,5.53e-06,0.101,0.325,128.157,4
98,"7I2lPuuiOkpKtZlhr4zUpT","Creedence Clearwater Revival","Fortunate Son",140773,"Willy And The Poor Boys (40th Anniversary Edition)",6,"1969-11-02",13,0.648,0.678,0,-7.461,1,0.0392,0.221,0.00456,0.143,0.667,132.729,4
99,"6L5BZEcZmD6RBJnimzlyKr","The Moody Blues","Nights In White Satin - Single Version / Mono",269106,"Days Of Future Passed (Deluxe Version)",16,"1967-11-10",33,0.195,0.483,4,-4.991,0,0.03,0.465,0.497,0.0686,0.173,84.71,4
100,"4eZDMbQm12jmaTFT6fOBwo","Black Sabbath","War Pigs",474400,"Paranoid (Remastered)",1,"1970-09-18",8,0.445,0.612,9,-12.025,1,0.0589,0.118,0.00661,0.175,0.497,91.732,4
101,"0HJ5CpISRpyan4Kuqw3WAh","The Rolling Stones","Jumpin' Jack Flash",221573,"Through The Past Darkly (Big Hits Vol.2) [Remastered]",4,"1969-09-12",11,0.574,0.918,3,-7.987,1,0.0572,0.045,0.204,0.0843,0.689,137.28,4
102,"3Dx58pXsjAtFNsOWM5yJq4","Chubby Checker","The Twist",154320,"Twist with Chubby Checker / Twist-a-Long with Chubby Checker",7,"2013-07-14",24,0.472,0.606,4,-8.034,1,0.0346,0.238,1.03e-05,0.0905,0.831,158.376,4
103,"2AQr7ceUjWmZbm7iWfC0zU","Little Richard","Good Golly Miss Molly",127733,"The Essential Little Richard (Remastered)",5,"1985-01-01",20,0.553,0.894,7,-8.022,1,0.0501,0.6,0.00118,0.46,0.963,166.587,4
104,"5xquYn2sr3uEcyuKU9BmCJ","AC/DC","Walk All Over You",310000,"Highway to Hell",3,"1979-07-27",10,0.233,0.87,9,-4.653,1,0.0643,0.00791,0.0198,0.251,0.409,162.003,4
105,"3bN4tg6rnNPy9GCkGhym4T","The Police","Message In A Bottle - Remastered 2003",290280,"Reggatta De Blanc (Remastered)",1,"1979-10-02",11,0.577,0.808,1,-7.04,0,0.039,0.0338,1.33e-05,0.221,0.869,151.008,4
106,"60FpWNr0Fk72U0cYV76Lys","Eddie Cochran","Summertime Blues",119293,"Memorial Album",8,"2012-11-16",16,0.76,0.754,4,-11.064,1,0.044,0.506,0.000119,0.129,0.967,156.508,4
107,"2mXbqtqKuOX9pyyUga7UZ1","Carl Douglas","Kung Fu Fighting",197693,"The Soul of the Kung Fu Fighter",1,"1972-02-13",22,0.598,0.673,2,-10.431,1,0.0693,0.0422,6.84e-05,0.289,0.59,102.035,4
108,"2kBAG8J7THPwTlXEm7GHG2","Bonnie Tyler","It's A Heartache",208613,"It's A Heartache",1,"2006",32,0.505,0.659,0,-6.895,1,0.0315,0.0518,0,0.268,0.596,118.873,4
109,"1H4idkmruFoJBg1DvUv2tY","Wings","Band On The Run - Remastered 2010",313026,"Band On The Run (Standard)",1,"1973-12-05",9,0.479,0.601,7,-8.806,1,0.0318,0.0832,0.00142,0.11,0.669,124.966,4
110,"1JO1xLtVc8mWhIoE3YaCL0","The Turtles","Happy Together",176293,"Happy Together",6,"1967",14,0.584,0.367,6,-9.638,0,0.0328,0.55,1.38e-05,0.0818,0.588,120.175,4
111,"7bglJCaprPQTfDfovdJS2h","Carl Perkins","Blue Suede Shoes",134445,"The Dance Album",1,"1957",12,0.548,0.675,4,-7.318,0,0.0364,0.448,8.53e-05,0.297,0.965,168.891,4
112,"2B4Y9u4ERAFiMo13XPJyGP","The Beatles","Here, There And Everywhere - Remastered 2009",144880,"Revolver (Remastered)",5,"1966-08-05",14,0.29,0.247,7,-12.125,1,0.0383,0.921,0.00565,0.0917,0.36,165.361,4
113,"6z4VNjyxLfRXRx23gzl51x","Gary Moore","Parisienne Walkways",200640,"Back On The Streets (Expanded Edition)",8,"1978",12,0.149,0.243,9,-13.188,0,0.0305,0.3,0.00506,0.12,0.215,174.451,3
114,"3LcYYV9ozePfgYYmXv0P3r","James Taylor","Fire and Rain",200579,"Sweet Baby James",7,"1970",11,0.611,0.35,5,-14.48,1,0.0356,0.499,7.84e-06,0.0844,0.36,76.064,4
115,"3WH4DRVwIanz3wg2kjMwnh","Them","Gloria",159266,"At The Movies - Soundtrack Hits",1,"2007-02-12",19,0.648,0.743,9,-8.969,1,0.0495,0.401,0.00224,0.169,0.73,129.143,4
116,"3dix9ONSeCaR05vk8K2kEQ","Judas Priest","Breaking the Law",155520,"British Steel - 30th Anniversary",3,"2010-05-10",26,0.362,0.959,2,-5.653,1,0.0882,0.0249,7.88e-06,0.0694,0.506,164.013,4
