"n","id","artist_name","name","duration_ms","album_name","track_number","release_date","total_tracks","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
31,"2qHiyBpxyOXnRGG3t2iE96","Phillip Phillips","Gone, Gone, Gone",209693,"The World From The Side Of The Moon",3,"2012-01-01",12,0.664,0.642,6,-5.961,1,0.038,0.129,0,0.114,0.501,118.002,4
32,"66TRwr5uJwPt15mfFkzhbi","Soulja Boy","Crank That (Soulja Boy)",221933,"souljaboytellem.com",2,"2007-01-01",14,0.736,0.74,0,-2.18,1,0.0786,0.515,0,0.0468,0.803,140.141,4
33,"5SY5BWTxbDqFouuAdelFV9","Victor Leksell","Svag",191103,"Svag",1,"2020-01-17",1,0.628,0.525,8,-8.941,1,0.0672,0.749,0,0.113,0.446,76.972,4
34,"5LtNBCM2ve0SxP0dlRVvMu","Bebe Rexha","I'm Gonna Show You Crazy",207775,"I'm Gonna Show You Crazy",1,"2014-12-19",1,0.474,0.537,2,-6.77,1,0.0649,0.0758,0,0.316,0.335,90.103,4
35,"0QjQC8sGqxUkaJFBsJjtGm","John Legend","Conversations in the Dark",235653,"Bigger Love",11,"2020-06-19",16,0.361,0.357,8,-8.423,0,0.0312,0.704,0,0.219,0.153,122.962,4
36,"62AuGbAkt8Ox2IrFFb8GKV","Neil Diamond","Sweet Caroline",203573,"Sweet Caroline",13,"1969-06-06",13,0.529,0.127,11,-16.066,1,0.0274,0.611,0.000109,0.237,0.578,63.05,4
37,"0SDZIfwGmTWP5emacUo6zG","Ruben","Dear God",179877,"Dear God",1,"2020-10-23",1,0.486,0.491,1,-7.598,0,0.0442,0.00605,0,0.0636,0.414,177.082,3
38,"3TRFq09DUgYj1mug6RRqJW","Luke Christopher","Lot to Learn",248337,"TMRW",6,"2015-09-11",6,0.405,0.846,6,-3.57,1,0.195,0.0948,0,0.0666,0.602,82.232,4
39,"54j7EaJPDmSZYcNYvLSJ78","Why Don't We","Trust Fund Baby",184460,"Trust Fund Baby",1,"2018-02-01",1,0.624,0.785,8,-3.337,1,0.0498,0.0629,0,0.135,0.593,163.929,4
40,"0nJW01T7XtvILxQgC5J7Wh","Bruno Mars","When I Was Your Man",213826,"Unorthodox Jukebox",6,"2012-12-07",10,0.612,0.28,0,-8.648,1,0.0434,0.932,0,0.088,0.387,72.795,4
41,"7C1trmcQQ5n5RNy4l6ziCv","Nea","Some Say - Felix Jaehn Remix",186878,"Some Say (Felix Jaehn Remix)",1,"2020-01-10",1,0.682,0.7,6,-5.591,1,0.0397,0.406,0,0.174,0.637,120.03,4
42,"32OlwWuMpZ6b0aN2RZOeMS","Mark Ronson","Uptown Funk (feat. Bruno Mars)",269666,"Uptown Special",4,"2015-01-12",11,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,4
43,"7FIWs0pqAYbP91WWM0vlTQ","Eminem","Godzilla (feat. Juice WRLD)",210800,"Music To Be Murdered By",7,"2020-01-17",20,0.808,0.745,10,-5.26,0,0.342,0.145,0,0.292,0.829,165.995,4
44,"49FYlytm3dAAraYgpoJZux","Rihanna","Umbrella",275986,"Good Girl Gone Bad: Reloaded",1,"2008-06-02",15,0.583,0.829,1,-4.603,1,0.134,0.00864,0,0.0426,0.575,174.028,4
45,"6sy3LkhNFjJWlaeSMNwQ62","OneRepublic","Counting Stars",257839,"Native",1,"2014-01-01",15,0.664,0.705,1,-4.972,0,0.0382,0.0654,0,0.115,0.477,122.017,4
46,"7IOuCLt770D8v0u3SVaDeI","Little Mix","Wasabi",154786,"LM5 (Deluxe)",10,"2018-11-16",18,0.847,0.656,2,-4.976,1,0.115,0.00451,0.000854,0.143,0.234,114.001,4
47,"3U4isOIWM3VvDubwSI3y7a","John Legend","All of Me",269560,"Love In The Future (Expanded Edition)",6,"2013-08-30",20,0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,4
48,"2K0r5GD5zYlEMx2M7ZMcqG","OneRepublic","Better Days",144530,"Better Days",1,"2020-03-25",1,0.626,0.726,5,-5.015,1,0.0376,0.235,0,0.304,0.257,89.132,4
49,"5yVIlYEHZxQVLyInCdldoS","James Arthur","Impossible",209440,"James Arthur (Deluxe)",4,"2013-11-04",18,0.376,0.695,0,-4.782,0,0.0933,0.135,0,0.11,0.302,169.533,4
50,"47EWMOElkkbMp5m9SBkx7d","Alexander 23","IDK You Yet",184638,"IDK You Yet",1,"2020-04-09",1,0.629,0.306,1,-11.735,1,0.0424,0.884,0.0776,0.124,0.191,76.994,1
51,"7FjKU2mfpEpvKIbx8naZRk","AJ Mitchell","Used to Be",174793,"Used to Be",1,"2018-05-25",1,0.471,0.474,5,-6.355,1,0.0382,0.723,0,0.0964,0.262,120.656,4
52,"60DwQiwwglVkTkTwDTTEId","JP Cooper","Sing It With Me",201198,"Sing It With Me",1,"2019-05-03",1,0.54,0.793,5,-4.379,1,0.0493,0.0744,0,0.354,0.399,112.219,4
53,"0jllH0usRFD4LJkJnGK9Lf","Olivia O'Brien","Complicated",189000,"Complicated",1,"2015-08-09",1,0.657,0.355,7,-12.044,1,0.0714,0.694,0.000427,0.123,0.0808,74.99,4
54,"4Of7rzpRpV1mWRbhp5rAqG","Lewis Capaldi","Bruises",220492,"Divinely Uninspired To A Hellish Extent",2,"2019-05-17",12,0.736,0.308,4,-7.83,1,0.0677,0.946,0,0.186,0.361,111.202,4
55,"3rMsX63C0IZVnOT5LGYoTH","Rihanna","Russian Roulette",227533,"Rated R",6,"2009-11-20",13,0.48,0.486,6,-5.754,0,0.0447,0.046,0,0.107,0.265,80.051,4
56,"7IWkJwX9C0J7tHurTD7ViL","Adele","When We Were Young",290906,"25",4,"2016-06-24",11,0.381,0.594,3,-5.97,1,0.0486,0.348,0,0.0925,0.273,143.86,4
57,"5Q0Nhxo0l2bP3pNjpGJwV1","Miley Cyrus","Party In The U.S.A.",202066,"The Time Of Our Lives",2,"2009-01-01",7,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,4
58,"3FNy4yzOhHhFBeA5p4ofoq","Snoop Dogg","Young, Wild & Free (feat. Bruno Mars)",207346,"Young, Wild & Free (feat. Bruno Mars)",1,"2011-10-21",1,0.553,0.652,0,-6.685,1,0.206,0.0897,0,0.111,0.551,94.505,4
59,"0AH6WMe3OlAlUb5miXt2FQ","Rihanna","Only Girl (In The World)",235493,"Loud",5,"2010-11-16",12,0.789,0.716,11,-4.241,0,0.0432,0.129,1.07e-05,0.069,0.611,125.906,4
60,"1iQDltZqI7BXnHrFy4Qo1k","SHAED","Trampoline (with ZAYN)",184280,"Trampoline (with ZAYN)",1,"2019-09-26",1,0.619,0.459,7,-5.782,0,0.0334,0.56,0,0.137,0.498,126.803,4
61,"0o9bHFc8Lt5tZFvTjNZTNf","John De Sohn","Forever Young",167911,"Forever Young",1,"2018-07-27",1,0.651,0.617,8,-6.077,1,0.0309,0.179,0,0.113,0.591,121.977,4
62,"5heMraZsTO2tPCsdeoKCXE","Jimmy Levy","Shadow",283112,"Shadow",1,"2018-12-07",1,0.509,0.158,11,-16.141,0,0.0356,0.606,0,0.101,0.327,67.604,4
63,"2OKo7g3KfmCt3kyLvUAL0g","NF","The Search",248040,"The Search",1,"2019-05-30",1,0.789,0.786,2,-4.788,1,0.297,0.596,0,0.0997,0.39,119.957,4
64,"0eOK06PrPsSJ9rswCHaC50","Madden","Love You Right",215265,"Love You Right",1,"2019-05-24",1,0.618,0.752,0,-5.854,1,0.0417,0.00806,0.00027,0.0704,0.305,126.017,4
65,"1rqqCSm0Qe4I9rUvWncaom","Panic! At The Disco","High Hopes",190946,"Pray for the Wicked",4,"2018-06-22",11,0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,4
66,"5r67bGhYXZNqk2m2Wupfmu","Rihanna","Pour It Up",161200,"Unapologetic (Deluxe)",4,"2012-12-11",17,0.785,0.478,2,-8.735,1,0.0419,0.0254,0,0.0901,0.39,134.002,4
67,"6moU77g9RQyMzHNuKEaQKq","Ali Gatie","It's You",212606,"It's You",1,"2019-06-14",1,0.732,0.463,11,-6.972,0,0.0287,0.374,0,0.194,0.397,95.971,4
68,"4kcWxePS9FI0wRVd1fqo4O","Kristian Kristensen","Du ga mæ viljestyrke",226662,"Du ga mæ viljestyrke",1,"2019-02-01",1,0.566,0.588,2,-7.719,1,0.0361,0.071,0,0.136,0.133,117.948,3
69,"6WU74yOM3Evu2hoyy2g5g5","Dean Lewis","Half A Man",179120,"A Place We Knew",12,"2019-03-22",12,0.507,0.204,0,-11.575,1,0.0504,0.855,0,0.143,0.343,77.765,4
70,"74cVJfmK18rhWnscIpGXjt","Cardi B","Thru Your Phone",188523,"Invasion of Privacy",12,"2018-04-06",13,0.837,0.549,0,-5.722,1,0.167,0.17,0,0.057,0.209,121.954,4
71,"5IaHrVsrferBYDm0bDyABy","Tyga","Taste (feat. Offset)",232959,"Taste (feat. Offset)",1,"2018-05-16",1,0.884,0.559,0,-7.442,1,0.12,0.0236,0,0.101,0.342,97.994,4
72,"2fXpPy5gtGLj9Wx0qGDeKy","Sick Individuals","Writing On The Wall",209023,"Writing On The Wall",1,"2018-07-13",1,0.659,0.903,9,-3.138,0,0.0387,0.0489,0.00252,0.0742,0.384,127.948,4
73,"0pqnGHJpmpxLKifKRmU6WP","Imagine Dragons","Believer",204346,"Evolve",4,"2017-06-23",12,0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,4
74,"4tZDUt8vHpvjfOXcHwOvtq","NF","The Search - Edit",197694,"The Search (Edit)",1,"2019-06-07",1,0.831,0.851,2,-3.397,1,0.207,0.552,0,0.106,0.496,119.958,4
75,"6BsbXBQZ7cFTuej6MfM92O","ItaloBrothers","My Life Is A Party - R.I.O. Edit",209800,"My Life Is A Party",1,"2012-08-20",8,0.719,0.751,0,-4.726,1,0.0302,0.0531,0.00192,0.157,0.843,127.982,4
76,"5st5644IlBmKiiRE73UsoZ","Lily Allen","Fuck You",219893,"It's Not Me, It's You",8,"2009-01-26",12,0.775,0.904,1,-4.08,0,0.0437,0.0271,0.000303,0.06,0.84,130.009,4
77,"6MWtB6iiXyIwun0YzU6DFP","Post Malone","Wow.",149520,"Wow.",1,"2018-12-24",1,0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,4
78,"4Tjg4jsELqr8cSgwDZ4twe","Eminem","Mockingbird",250760,"Encore",16,"2004-11-12",23,0.637,0.678,0,-3.798,1,0.266,0.209,0,0.156,0.254,84.039,4
79,"0STK94RxUulYqWzwFlyAb5","Demi Lovato","Sober",197893,"Sober",1,"2018-06-21",1,0.397,0.303,1,-10.413,1,0.11,0.798,4.16e-06,0.0824,0.17,170.22,3
80,"0ZmkjefPVLvloVSgtmRu5M","Calvin Harris","Faith",219200,"Motion",1,"2014-10-31",15,0.623,0.957,5,-2.675,1,0.0427,0.235,3.25e-05,0.398,0.535,127.968,4
81,"4J7CKHCF3mdL4diUsmW8lq","Calvin Harris","Under Control (feat. Hurts)",184280,"Motion",2,"2014-10-31",15,0.544,0.915,8,-3.405,1,0.0841,0.129,0.000914,0.115,0.51,126.094,4
82,"07nH4ifBxUB4lZcsf44Brn","Calvin Harris","Blame (feat. John Newman)",212960,"Motion",3,"2014-10-31",15,0.414,0.857,0,-4.078,0,0.0808,0.0287,0.00574,0.343,0.348,128.024,4
83,"6YUTL4dYpB9xZO5qExPf05","Calvin Harris","Summer",222533,"Motion",8,"2014-10-31",15,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,4
84,"7qUJQSNX9QNf46CC6FgH66","Lil Wayne","Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",243490,"Suicide Squad: The Album",2,"2016-08-05",14,0.502,0.786,9,-4.378,0,0.317,0.255,0,0.65,0.739,169.021,4
85,"2FY7b99s15jUprqC0M5NCT","Imagine Dragons","Natural",189466,"Origins (Deluxe)",1,"2018-11-09",15,0.704,0.611,2,-6.112,1,0.0409,0.217,0,0.0812,0.22,100.0,4
86,"39q7xibBdRboeMKUbZEB6g","John Denver","Take Me Home, Country Roads",197813,"The John Denver Collection, Vol 1: Take Me Home Country Roads",1,"1997-06-17",11,0.255,0.43,9,-12.564,1,0.0322,0.546,1.87e-05,0.188,0.546,164.267,4
87,"2VxeLyX666F8uXCJ0dZF8B","Lady Gaga","Shallow",215733,"A Star Is Born Soundtrack",12,"2018-10-05",34,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,4
88,"74iZuPGwyL33VlTr6jTnab","Lady Gaga","Always Remember Us This Way",210200,"A Star Is Born Soundtrack",17,"2018-10-05",34,0.553,0.502,0,-5.972,1,0.0409,0.299,0,0.764,0.296,129.976,4
89,"1dEy9Pl81QopSxNsPxXQxv","Rihanna","Stay",240706,"Unapologetic (Deluxe)",9,"2012-12-11",17,0.621,0.31,9,-10.164,0,0.0283,0.945,6.12e-05,0.117,0.125,111.893,4
90,"56twMOlq9DJc3EgpVUVIrW","Demi Lovato","Stone Cold",191307,"Confident (Deluxe Edition)",5,"2015-10-16",15,0.419,0.453,8,-7.685,1,0.0437,0.539,0,0.0971,0.356,140.327,3
91,"472vIK1ldetTxRxG3ovaiY","Dan + Shay","Glad You Exist",144533,"Glad You Exist",1,"2021-02-05",1,0.748,0.551,11,-6.12,1,0.0349,0.235,0,0.119,0.66,103.953,4
92,"38TgLPNHsPzgqri5G4SPun","Nicki Minaj","Majesty (with Labrinth & feat. Eminem)",295653,"Queen",2,"2018-08-10",19,0.81,0.73,11,-5.209,0,0.223,0.314,0,0.105,0.568,157.004,4
93,"0KpfYajJVVGgQ32Dby7e9i","Train","Hey, Soul Sister",216666,"Hey, Soul Sister",1,"2009-08-06",1,0.675,0.885,1,-4.432,0,0.0436,0.217,0,0.086,0.768,97.03,4
94,"4hQ6UGyWQIGJmHSo0J88JW","Selena Gomez","Back To You - From 13 Reasons Why – Season 2 Soundtrack",207904,"Back To You (From 13 Reasons Why – Season 2 Soundtrack)",1,"2018-05-10",1,0.601,0.724,6,-4.856,1,0.0486,0.0945,1.68e-06,0.12,0.508,102.061,4
95,"5vjLSffimiIP26QG5WcN2K","Chord Overstreet","Hold On",198853,"Hold On",1,"2017-02-03",1,0.618,0.443,2,-9.681,1,0.0526,0.469,0,0.0829,0.167,119.949,4
96,"7qEHsqek33rTcFNT9PFqLf","Lewis Capaldi","Someone You Loved",182160,"Divinely Uninspired To A Hellish Extent",4,"2019-05-17",12,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,4
97,"2kJwzbxV2ppxnQoYw4GLBZ","JP Saxe","If the World Was Ending (feat. Julia Michaels)",208687,"If the World Was Ending (feat. Julia Michaels)",1,"2019-10-17",1,0.464,0.473,1,-10.086,1,0.129,0.866,0,0.109,0.604,75.801,4
98,"5qrSlOut2rNAWv3ubArkNy","Dean Lewis","Be Alright",196493,"A Place We Knew",6,"2019-03-22",12,0.551,0.537,11,-7.595,1,0.034,0.705,0,0.0802,0.493,126.421,4
99,"38nKfxyRrjYfx0ODX1W5yB","AJ Mitchell","I Don't Want You Back",224144,"Hopeful",4,"2018-07-20",6,0.613,0.347,5,-6.486,1,0.034,0.591,0,0.0959,0.25,109.764,4
100,"2TmLZLv57mW4OA3Il1ULsf","Calum Scott","Dancing On My Own",260004,"Dancing On My Own",1,"2016-03-11",1,0.682,0.175,1,-8.688,1,0.0313,0.847,3.21e-05,0.101,0.223,112.661,4
101,"50Td3qilgs8BLtv8mHyT1t","Zoe Wees","Control",230880,"Control",1,"2020-03-13",1,0.599,0.465,4,-4.95,1,0.0314,0.643,1.57e-06,0.149,0.0678,113.82,4
102,"1l5qnNSizIyHHmiXySsJ1R","Ruben","Burn Down This Room",211669,"Burn Down This Room",1,"2020-05-08",1,0.394,0.552,3,-6.357,1,0.0398,0.00895,0,0.322,0.224,139.374,4
103,"60bUT3XY15CTg8ZRNrSbqO","Ruben","So High",219854,"So High",1,"2019-10-11",1,0.571,0.496,11,-7.36,1,0.0694,0.356,1.21e-06,0.0924,0.238,119.779,4
104,"3tjFYV6RSFtuktYl3ZtYcq","24kGoldn","Mood (feat. iann dior)",140525,"Mood (feat. iann dior)",1,"2020-07-24",1,0.7,0.722,7,-3.558,0,0.0369,0.221,0,0.272,0.756,90.989,4
105,"4Oun2ylbjFKMPTiaSbbCih","Cardi B","WAP (feat. Megan Thee Stallion)",187541,"WAP (feat. Megan Thee Stallion)",1,"2020-08-07",1,0.935,0.454,1,-7.509,1,0.375,0.0194,0,0.0824,0.357,133.073,4
106,"6cx06DFPPHchuUAcTxznu9","Joel Corry","Head & Heart (feat. MNEK)",166028,"Head & Heart (feat. MNEK)",1,"2020-07-03",1,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,4
107,"0v1x6rN6JHRapa03JElljE","BTS","Dynamite",199053,"Dynamite",1,"2020-08-21",2,0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,4
108,"34pRqzRiFcIuyRMuuEayzY","Sam Smith","How Do You Sleep?",202204,"Love Goes",2,"2020-10-30",17,0.561,0.685,1,-4.891,0,0.0835,0.154,0,0.077,0.363,165.944,4
109,"1tkg4EHVoqnhR6iFEXb60y","Pop Smoke","What You Know Bout Love",160000,"Shoot For The Stars Aim For The Moon",15,"2020-07-03",19,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,4
110,"0fIffclhgJC5h8AdMMVvkp","Pop Smoke","Welcome To The Party",214960,"Meet The Woo",2,"2019-07-26",9,0.637,0.723,2,-5.547,1,0.091,0.0134,7.87e-05,0.196,0.228,143.013,4
111,"76nqCfJOcFFWBJN32PAksn","Ava Max","Kings & Queens",162398,"Kings & Queens",1,"2020-03-12",2,0.638,0.688,1,-4.056,0,0.0407,0.00775,0,0.126,0.434,129.856,4
112,"7EQGXaVSyEDsCWKmUcfpLk","Kesha","Die Young",211920,"Warrior (Expanded Edition)",2,"2012-11-30",24,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,4
113,"6TfeXwJihJRuBW3mFpib6J","CLMD","DANCE",174448,"DANCE",1,"2019-10-18",1,0.766,0.548,7,-7.834,1,0.0373,0.0263,1.81e-06,0.21,0.552,122.012,4
114,"5ow0sNF1zSqp71Ix5jEXWU","Jubël","Dancing in the Moonlight (feat. NEIMY)",164009,"Dancing in the Moonlight (feat. NEIMY)",1,"2018-06-22",1,0.659,0.617,11,-5.862,0,0.0649,0.27,0,0.187,0.187,119.858,4
115,"0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights",200040,"After Hours",9,"2020-03-20",14,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4
116,"6g1NlCpW7fgqDnWbCCDrHl","Avicii","Wake Me Up - Radio Edit",247426,"True",1,"2013-01-01",12,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4
117,"5PKWUDfQFtc5qqo8cs1gQp","Adele","Set Fire to the Rain",242973,"21",5,"2011-01-19",11,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.66e-06,0.112,0.445,107.995,4
118,"2jiPHbFX5XM8TjaTfYJ0eo","Milky Chance","Stolen Dance",313684,"Sadnecessary",11,"2013-05-31",14,0.885,0.581,11,-8.813,1,0.0378,0.427,0.000204,0.0759,0.728,114.016,4
119,"6ikDZX0oc8EKGj2vdMAEDv","OneRepublic","Didn't I",207616,"Didn't I",1,"2020-03-13",1,0.606,0.613,4,-6.758,1,0.0306,0.0182,0,0.125,0.258,123.943,4
120,"1hWYT0w2R0J19rlVkiez7X","Lupe Fiasco","Battle Scars (with Guy Sebastian)",250320,"Food & Liquor II: The Great American Rap Album, Pt. 1",11,"2012-09-25",16,0.517,0.811,5,-4.526,0,0.286,0.186,0,0.105,0.494,168.269,4
121,"6Gg1gjgKi2AK4e0qzsR7sd","Juice WRLD","Bandit (with YoungBoy Never Broke Again)",189322,"Bandit (with YoungBoy Never Broke Again)",1,"2019-10-04",1,0.474,0.631,5,-5.884,0,0.343,0.0687,0,0.132,0.425,180.051,4
122,"6Hj9jySrnFppAI0sEMCZpJ","Juice WRLD","Robbery",240050,"Death Race For Love",8,"2019-03-08",22,0.685,0.692,2,-5.122,1,0.0457,0.328,0,0.153,0.578,159.966,5
123,"1vvNmPOiUuyCbgWmtc6yfm","Calvin Harris","My Way",219159,"My Way",1,"2016-09-16",1,0.818,0.913,4,-3.06,0,0.0426,0.093,3.69e-05,0.161,0.536,119.986,4
124,"3cHyrEgdyYRjgJKSOiOtcS","Pitbull","Timber (feat. Ke$ha)",204160,"Global Warming: Meltdown (Deluxe Version)",13,"2012",17,0.581,0.963,11,-4.087,1,0.0981,0.0295,0,0.139,0.788,129.992,4
