id,duration_ms,tempo,loudness,name,artist_id,artist,album_id,album,popularity,playlist,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature
0dzl6bBvsIAfHLlTbBObTW,0.5366975713238032,0.44458836062265644,0.4375910973324388,"An der schönen blauen Donau, Op.314",5goS0v24Fc1ydjCKQRwtjM,Johann Strauss II,1lAJc6zeDxHqqeRPHuqKZY,"Strauss, J.: An der schönen blauen Donau (The Blue Danube)",0,0,0.233,0.0252,2,1,0.0346,0.975,0.604,0.14300000000000002,0.0936,4
0pCHzhuRt6kOU3FUEG3HnC,0.3197360498368359,0.49429575713206336,0.45899174050852554,"Danse Macabre, Op.40, R.171",436sYg6CZhNefQJogaXeK0,Camille Saint-Saëns,7gKe289yqFDyoUSnIBkRjm,Danse Macabre,0,0,0.371,0.131,2,1,0.0413,0.898,0.925,0.0847,0.0655,4
0cqcRqZgkNHanWQ8slYA0v,0.4350747897077812,0.3848897398715079,0.4740763019688592,Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto. Sehr langsam,2ANtgfhQkKpsW6EYSDqldz,Gustav Mahler,2xhhbZySK489esUAtrs65j,Mahler : Symphony No.5,54,0,0.0783,0.0523,5,1,0.0471,0.8959999999999999,0.945,0.0806,0.0327,4
2kAgCRZPG3YQR2VMqRvLmb,0.7238867678738132,0.3498758722962921,0.25643754482567144,The Lark Ascending,7wNkISK49lKeXuRaZcQVFe,Ralph Vaughan Williams,1Dki2WNHBcFGSs4ZACDBfq,The Lark Ascending,3,0,0.0811,0.0122,4,0,0.0511,0.902,0.308,0.0648,0.0384,4
3QqPgzOcv9titKufFR0gsQ,0.4197731288627403,0.6279500861150609,0.6369988200726465,"Piano Concerto No.3 in C, Op.26: 1. Andante - Allegro",4kHtgiRnpmFIV5Tm4BIs8l,Sergei Prokofiev,5hOFetItodSTqXX2uKz5Pa,Tchaikovsky: Piano Concerto No.1; Prokofiev: Piano Concerto No.3,46,0,0.353,0.254,0,1,0.0349,0.948,0.8590000000000001,0.0843,0.0986,4
4rrrn8OLrttq7r9RgNXalU,0.48509866138153823,0.6615419992772905,0.4363648983180252,"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto",0Kekt6CKSo0m5mivKcoH51,Sergei Rachmaninoff,5lVqgXqdoIH3W1wUM2hzPx,Rachmaninov: Piano Concerto No.2,56,0,0.19399999999999998,0.0545,4,1,0.0366,0.983,0.945,0.0551,0.0385,4
0k6P9cdEA9K3k0ASde2Kof,0.481812409660891,0.3982645586075171,0.5520209147907364,Rodrigo: Concierto de Aranjuez: II. Adagio,3eqv9LW7ZXlYWXVFjHS4Mr,Joaquín Rodrigo,2K6XjvDKO2HTCDqGZkph9e,Aranjuez,51,0,0.253,0.098,11,0,0.0437,0.93,0.862,0.122,0.062,4
419qlOGNXoyICx4jO0hqaj,0.09985414489367671,0.4144598215752251,0.4603336186752425,"Rhapsody on a Theme of Paganini, Op. 43: Variation No. 18 Andante cantabile",0Kekt6CKSo0m5mivKcoH51,Sergei Rachmaninoff,7lj4fT2SzKOFw8rvSrVivF,Rachmaninov Variations,52,0,0.205,0.0525,1,1,0.0327,0.98,0.9059999999999999,0.10300000000000001,0.0511,4
3DNRdudZ2SstnDCVKFdXxG,0.21533562260770556,0.8006682716449149,0.14978136640214693,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",2wOqMjp9TyABvtHdOSOTUS,Ludwig van Beethoven,4bNwPPpk01D8pVV9IFSBde,"Beethoven: Piano Sonatas, Vol.3",66,0,0.184,0.00527,1,0,0.0432,0.995,0.887,0.17300000000000001,0.151,3
04eShjKTWijeJJqGnhxpYK,0.12094243071062118,0.5666042508458986,0.44730814612590525,Scheherazade: The Tale of the Kalendar Prince,2kXJ68O899XvWOBdpzlXgs,Nikolai Rimsky-Korsakov,3QXtNXmOyrOfZ2mWG4rw9v,Rimsky-Korsakov: Scheherezade,53,0,0.235,0.0639,11,0,0.049,0.9620000000000001,0.603,0.466,0.0781,3
5pjDwtMPly0cNMbuGXhUOI,0.34916957747957783,0.41242309479226796,0.4284987159614095,"Elgar: Cello Concerto in E Minor, Op. 85: I. Adagio - Moderato",430byzy0c5bPn5opiu0SRd,Edward Elgar,3M8H71qJ70vI600QZH2AdJ,Impressions,49,0,0.14800000000000002,0.0722,4,0,0.0427,0.9440000000000001,0.14800000000000002,0.115,0.0467,4
0QTaXZRWdzfPdssiQThdCL,0.5851299980804221,0.611501405529197,0.4002498669689748,"Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato",5ihY290YPGc3aY2xTyx7Gy,Edvard Grieg,5pFKU7XoL318ysJ9vhiMNf,Tchaikovsky & Grieg: Piano Concertos,47,0,0.312,0.0465,9,0,0.0378,0.981,0.9,0.0872,0.0371,3
3GecLjGMqzjmgkvy2v41Wf,0.2500520911094012,0.358454527962757,0.357332901464498,"Ständchen in D Minor (After Schubert), S. 560",1385hLNbrnbCJGokfH2ac2,Franz Liszt,12TLeKJv0q5fnF2obaf6Is,Liszt,51,0,0.341,0.0142,2,1,0.0388,0.993,0.9209999999999999,0.113,0.0384,1
2u9VGZmVz7Rm01SfDgzcfA,0.19705861603356145,0.6416721808463209,0.3917821530203826,"Liebestraum No. 3 in A-Flat Major, S. 541 / 3",1385hLNbrnbCJGokfH2ac2,Franz Liszt,39Hh5k01di42nUCLn8Wxqu,Liszt - My Piano Hero,58,0,0.27899999999999997,0.0292,8,1,0.0406,0.987,0.902,0.10400000000000001,0.0338,3
3af6PvJHP8XlFMWeuN7bF8,0.23372173339524108,0.3053306865270992,0.5481340952733499,"Andante festivo for Strings and Timpani, JS 34b",7jzR5qj8vFnSu5JHaXgFEr,Jean Sibelius,0TmGIz0EcAHrMENYcJlnXs,Sibelius: Music From Timo Koivusalo's Film,47,0,0.113,0.161,7,1,0.0442,0.484,0.9279999999999999,0.16,0.0365,4
0S0YKiEdR9cT9pYgEaTevF,0.2976748497561152,0.30530722193282556,0.3665872336487518,O Magnum Mysterium: O magnum mysterium,4EV7a9KODMBPJTCgIl9Bmk,Morten Lauridsen,2KpDg5XbaWzQWepVfDpefT,Lauridsen: O Magnum Mysterium / Lux Aeterna / Madrigali / Les Chansons Des Roses,47,0,0.0623,0.0116,2,1,0.0567,0.991,0.445,0.0816,0.0331,3
5xbuJuQsTVheVZvX2AJVIv,0.08086673043384102,0.49516394712019024,0.7282696712398492,Spring 1,2VZNmg4vCnew4Pavo8zDdW,Max Richter,5yuG2LEkf7QA9ZGIXldCmy,"Recomposed By Max Richter: Vivaldi, The Four Seasons",65,0,0.701,0.341,1,0,0.0418,0.499,0.903,0.359,0.163,3
7HSs4srn1qnZhh7WRWBVOk,0.23688247425386663,0.4050645980280354,0.5634731508687505,"Prokofiev: Romeo and Juliet, Op. 64, Act 1, Scene 2: Dance of the Knights",4kHtgiRnpmFIV5Tm4BIs8l,Sergei Prokofiev,3M5idfqFUxge3skgZQu4R3,Prokofiev: Romeo and Juliet,54,0,0.21,0.10099999999999999,0,1,0.0403,0.927,0.902,0.0776,0.153,4
1CSaCKPIp2yCIDL3t7Fyau,0.397449422403935,0.347060120983448,0.45357795618073704,"Barber: Adagio for Strings, Op. 11",4XDJurjQCnWLlE7KLZCT9x,Samuel Barber,4zW79KZjDenZMLXSGU0Mqu,Samuel Barber - Adagio (100th anniversary),55,0,0.102,0.0733,10,0,0.0488,0.9740000000000001,0.8590000000000001,0.28,0.0308,3
2nVt0n0aSj3AwZjakMvDHX,0.44225023748623893,0.4958115699221445,0.508895726812114,Khachaturian: Spartacus Suite No. 2: I. Adagio of Spartacus and Phrygia,5WIoytpqi3VWoFSHnl49in,Aram Khachaturian,63PTC3GOG8kFdMthv7iXg8,Khachaturian: Spartacus and Gayaneh highlights etc,45,0,0.165,0.106,8,1,0.039,0.807,0.782,0.105,0.0336,3
4Dcm4KMuDz0l01weeSpD4J,0.4837040962479635,0.5151229310093999,0.6658029289961364,Prince Igor (Knyaz Igor): Act II: Polovtsian Dances - Ulyetay na kril'yahk vyetra (Fly away on the wings of the wind) (version for chorus),34MYamymtmnsmpwbqydd7I,Alexander Borodin,7EvHAkgN8py1HEVvUtszxy,Borodin: Prince Igor (Highlights) / In the Steppes of Central Asia,47,0,0.292,0.24600000000000002,2,1,0.0385,0.922,0.525,0.107,0.0859,4
2fC30Rt5tFa6FA2jNb4fiz,0.3135564856302368,0.556899294654296,0.7119126391041807,"Symphony No. 40 in G Minor, K. 550: I. Molto allegro",4NJhFmfw43RLBLjQvxDuRS,Wolfgang Amadeus Mozart,7fKKgfd3ieWrklcXmRubpV,"Mozart: Symphonies Nos. 39, 40 & 41 ""Jupiter""",48,0,0.326,0.33,7,0,0.0406,0.871,0.7490000000000001,0.128,0.293,4
4QfYHdV8hMoyS9qKUct98q,0.3302149763170027,0.41229638598318996,0.45348541285889454,"Elégie in C Minor, Op. 24 (Arr. Parkin)",2gClsBep1tt1rv1CN210SO,Gabriel Fauré,6448GplfJpNxV3euIIFYiy,"Elégie in C Minor, Op. 24 (Arr. Parkin)",0,0,0.115,0.0422,8,1,0.0404,0.966,0.919,0.0896,0.037000000000000005,3
3MRQn2RYo2VLYMoStnLRxu,0.24089718117369882,0.5903363414943191,0.38930661916109477,"Ravel: Pavane pour une infante défunte, M. 19",17hR0sYHpx7VYTMRfFUOmY,Maurice Ravel,5Ui8Uj9oHn2yT7Duo0welM,Ravel: Complete Works for Solo Piano,57,0,0.491,0.0176,4,0,0.0644,0.9940000000000001,0.927,0.0985,0.0901,3
0xX7kREWmOGBWzYNcpZwRN,0.2552579207197925,0.4430303115628827,0.5812414686625178,"Violin Sonata in A major, FWV 8: IV. Allegretto poco mosso",1C3sffOOvQNUwg4YIsvKqy,César Franck,5FUPAG4ZjlOSJf0t3uITB7,French Impressions,48,0,0.25,0.135,9,1,0.0488,0.958,0.0349,0.0477,0.179,4
1Xy6MHSaX3IUGGqst6RzYM,0.983900976031527,0.395828933721907,0.537375934109155,"Piano Concerto No. 1 in B-Flat Minor, Op. 23: I. Allegro non troppo e molto maestoso – Allegro con spirito",3MKCzCnpzw3TjUYs2v7vDA,Pyotr Ilyich Tchaikovsky,6CGw0GbQ3PyJhXxHlBVjSk,Tchaikovsky: Piano Concerto No. 1,46,0,0.212,0.11900000000000001,1,1,0.0366,0.976,0.907,0.087,0.0396,3
4wudbbceOZKjRlhTtbHvAs,0.4783120511756184,0.3354357609802569,0.034703745690951575,Spiegel im Spiegel - Version for Violin and Piano,2P6ygesd9xg5DPOBnda2jg,Arvo Pärt,69iw6Zy6fh2dSnEgBTZKJE,Arvo Pärt: Alina,50,0,0.17600000000000002,0.006,5,1,0.0384,0.899,3.24e-05,0.105,0.0383,3
52GmHO5DikTIKc3yBmTTT1,0.6998018076845461,0.3471258218474144,0.6137241746292483,"Symphony No. 8 In B Minor, D.759 - ""Unfinished"": 1. Allegro moderato",2p0UyoPfYfI76PCStuXfOP,Franz Schubert,2nFVSsVHVJtGAnw37l8hwC,"Schubert: Symphony No.8 ""Unfinished""; Symphony No.9 ""Great""",40,0,0.1,0.0354,11,0,0.0387,0.9009999999999999,0.865,0.125,0.0426,4
2OHnoGjn6X6kDwzO7Rw0Y9,0.4302733839861265,0.6120270124409278,0.4877264419406335,The Sorcerer's Apprentice,3KpcdlqCaWWruPfmM2rWy1,Paul Dukas,2whukRzuzg6VUBKkcEKfJp,Fantasia 2000,45,0,0.35100000000000003,0.20600000000000002,1,1,0.0597,0.797,0.255,0.0738,0.0839,4
1Oo7XEqkrwifJn17aA0ocF,0.26726758751716545,0.3240131964878195,0.2964856673530296,"Sechs Klavierstücke, Op. 118: II. Intermezzo in A Major",5wTAi7QkpP6kp8a54lmTOq,Johannes Brahms,1zWSdYsAlF38LhpcMEthzO,Volodos Plays Brahms,60,0,0.299,0.00626,9,1,0.0478,0.9940000000000001,0.9009999999999999,0.0823,0.0634,4
5Zf5prtvv7KRQ1J6kNn4C6,0.2275306845346008,0.32734986179353964,0.4263470837285704,"Serenade in B-Flat Major, K. 361 ""Gran Partita"": III. Adagio",4NJhFmfw43RLBLjQvxDuRS,Wolfgang Amadeus Mozart,57oAKQUoE6eyKfEuDpf5Ji,"Mozart: Serenade in B Flat - ""Gran Partita""; Serenade in E Flat",50,0,0.191,0.0363,3,1,0.0409,0.991,0.924,0.141,0.0372,4
2MSgFefjK0T7Iwjvr3OKqV,0.1694511483833709,0.7680665643610355,0.29636998820072646,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",7y97mc3bZRFXzT2szRM4L4,Frédéric Chopin,3hW1TEeZRJ01XycQFABjj9,Chopin - Piano Works,63,0,0.225,0.0047,1,0,0.0509,0.992,0.8809999999999999,0.0722,0.18600000000000003,4
4dGkPPLnIdVgogqpyaAjbc,0.305221908126049,0.43232107073636594,0.5319158781204452,Il barbiere di Siviglia: Overture (Sinfonia),0roWUeP7Ac4yK4VN6L2gF4,Gioachino Rossini,4yjeIGYE7CkDZjcCP8GNtX,Rossini: Complete Overtures (3 CDs),0,0,0.322,0.14,4,1,0.0489,0.9059999999999999,0.759,0.125,0.285,4
74WjYdm3Lvbwnds4thYPUU,0.1020526358101357,0.39432250676953545,0.7226013927769936,"Turandot: ""Nessun dorma!""",0OzxPXyowUEQ532c9AmHUR,Giacomo Puccini,4sD3O2NsmbzU7hkjgTpbjG,Puccini: Turandot - Highlights,59,0,0.212,0.301,2,1,0.0384,0.963,0.0033,0.13,0.0798,4
3VQ7hwiEfaHDl3AySgyaiR,0.0823105155133066,0.48701703998836154,0.5319621497813662,"Peer Gynt, Op. 23: Act II, 7, In the Hall of the Mountain King",5ihY290YPGc3aY2xTyx7Gy,Edvard Grieg,2Rt1JJA8IvT38kzCyZksSP,"Grieg: Peer Gynt, Op. 23 (Excerpts) - Sony Classical Masters",46,0,0.436,0.151,11,0,0.0603,0.955,0.7929999999999999,0.11,0.359,4
6cC6h5E351deEGFd7Kh9uy,0.17712945994234702,0.5231243576567317,0.6040765333271638,"Paganini: 24 Caprices, Op. 1: No. 24 in A Minor",39FC9x5PaTNYHp5hwlaY4q,Niccolò Paganini,2wo9DP5JxxAVlGl9qc2jEf,Paganini: 24 Caprices,53,0,0.465,0.128,9,0,0.0519,0.978,0.271,0.0423,0.428,4
3NbAsIxDL0fVgNuCLD152P,0.10138406487845135,0.2940958387888515,0.23309349189089132,"Dolly, Op. 56: 1. Berceuse",2gClsBep1tt1rv1CN210SO,Gabriel Fauré,1VMXYuxv7jwh3XzPZtoELi,Fauré: Dolly Suite; Nocturnes; Barcarolles; Impromptus,61,0,0.37,0.0076,4,1,0.0384,0.995,0.91,0.0864,0.278,4
1ENZ1YHuOp5MMFJlWBQ6V7,0.0714599784416637,0.3309211730419969,0.4174397890012262,"Goldberg Variations, BWV 988: Variatio 7 a 1 ovvero 2 Clav. Al tempo di Giga",5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,70uK1xeiYicJZPFNkhfIdk,Bach: Goldberg Variations (Deluxe Edt. Studio + Live),0,0,0.31,0.0555,7,1,0.0395,0.9940000000000001,0.9059999999999999,0.121,0.5660000000000001,4
2ceu417OdiSxzR3K7B1n2M,0.9537545795057989,0.5684579537935209,0.40651967702380676,"Symphonic Variations on an African Air, Op.63",0fhN6BHa9pN66ZnsrI5NUR,Samuel Coleridge-Taylor,1Szzhi5CI8U94YoUu8Zo2a,Butterworth: The Banks of Green Willow; A Shropshire Lad/ /McGunn: The Land of the Mountain and the Flood/Coleridge-Taylor: Symphonic Variations on an African Air &c.,0,0,0.22399999999999998,0.0291,7,1,0.0455,0.9590000000000001,0.845,0.106,0.0538,4
1MiWGSGDC5mGoP3MNclZ7s,0.12769130562469136,0.4089409490020508,0.3138606760289661,The Rite of Spring: Part One: Adoration of the Earth: Introduction,7ie36YytMoKtPiL7tUvmoE,Igor Stravinsky,0RR9tJp55MeV72JLZJOfsZ,Stravinsky: Le Sacre du Printemps,45,0,0.10099999999999999,0.0241,11,0,0.0485,0.9470000000000001,0.847,0.0693,0.0329,3
43bSKCMWHIuBsUVmQcDX1J,0.16740605963160513,0.3258762852731513,0.27277144113087937,"Rêverie, L. 68: Rêverie",1Uff91EOsvd99rtAupatMP,Claude Debussy,7qdNpLxZ5eazTHCYu0Ssxz,Debussy Piano Edition,60,0,0.29600000000000004,0.00896,7,0,0.0394,0.9940000000000001,0.91,0.0815,0.0673,3
3Rw0Rg4LjlYnuxIyioW3vg,0.282777612799811,0.871371787110429,0.4458505888068853,Violin Concerto No. 10 in G Major: Largo,02onqdkvTxxy6tNJWnjnFU,Joseph Boulogne Chevalier de Saint-Georges,2xPu5U9CZiHN87Gyh9YA5Z,"Saint-Georges: Violin Concertos No. 1, Op. 3 and Nos. 2 and 10",49,0,0.212,0.0517,2,1,0.0525,0.9279999999999999,0.639,0.11199999999999999,0.152,3
6VDHdry8ytOL2WWbePDxSD,0.11681861957739754,0.7968059994274639,0.46535409388519994,"The Gadfly Suite, Op. 97a: VIII. Romance",6s1pCNXcbdtQJlsnM1hRIA,Dmitri Shostakovich,0m8zvPL66y78Hpt2ynfdA8,Soft Classical Music for Sleeping,45,0,0.11599999999999999,0.0694,0,1,0.0497,0.9690000000000001,0.644,0.109,0.0377,4
64ZxBE1ZgK4C0lGljXzDcG,0.12404902962876677,0.743198787349768,0.5696272817712791,"The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto",2QOIawHpSlOwXDvSqQ9YJR,Antonio Vivaldi,1BxxmokA4eBg1EBpfYP1fC,Vivaldi: The Four Seasons,55,0,0.48,0.163,5,0,0.0645,0.81,0.754,0.09300000000000001,0.212,4
0w4LgJ5G1Xz5jLS3HX8oyq,0.8186622346839834,0.361396988084679,0.5819355435763367,Young Person's Guide To The Orchestra,7MJ1pB5d6Vjmzep2zQlorn,Benjamin Britten,1nuOBOdelvIB0B7CqzVAXE,Last Night of the Proms,43,0,0.218,0.11699999999999999,0,1,0.0489,0.94,0.861,0.15,0.0599,4
0yzhOPf0iw2qWwcXRRta5L,0.6866764887803133,0.3499415731602584,0.6573120792170836,Rhapsody In Blue,1YuknfkSYTTbolRpwZBOv4,George Gershwin,3hFTO4FkWbD6SD0ekUY5f1,"Rhapsody In Blue: Saint-Säens, Ravel, Gershwin",42,0,0.309,0.258,9,1,0.0459,0.976,0.69,0.0924,0.115,4
6kg7bfwsTKzRqnBGGv4VqR,0.432580979115977,0.40150736553614247,0.4832843624921916,"Piano Concerto in C-Sharp Minor, FP 146: I. Allegretto commodo - Live",4IAWVxo2fpTBPn6k7GZ3eY,Francis Poulenc,3LUlEgkKM3W8SYE31TCC3A,"Poulenc: Piano Concerto, Organ Concerto & Stabat Mater (Live)",41,0,0.193,0.0839,8,1,0.0406,0.971,0.8220000000000001,0.11800000000000001,0.0569,4
0oIQl9tFpCiKBRavEIIGzo,0.1480462142478618,0.4773073908779043,0.22238160238761776,"Pelléas et Mélisande, Op. 80: 4. Sicilienne",2gClsBep1tt1rv1CN210SO,Gabriel Fauré,0WoaIDvXwBYvWhZVYo1wmD,Fauré: Requiem; Pelléas et Mélisande; Pavane for Orchestra and Choir,42,0,0.16399999999999998,0.0194,3,1,0.0434,0.938,0.8590000000000001,0.0939,0.0581,3
7uf3aFC1msj0t5cYImgOWy,0.1283360869158618,0.311257843040636,0.4934178562339495,"Serenade for Strings in C major, Op. 48: II. Walzer: Moderato, tempo di valse",3MKCzCnpzw3TjUYs2v7vDA,Pyotr Ilyich Tchaikovsky,6bB2g7YWY6IjetZBzRsWfE,Tchaikovsky: Serenade for Strings - Grieg: Holberg Suite - Mozart: Eine kleine Nachtmusik,47,0,0.24100000000000002,0.122,7,1,0.0497,0.925,0.66,0.126,0.187,4
6cUCckpdlqHJ5Ascf2uH2A,0.3191675594617963,0.4592161886928812,0.6495847118432316,"Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio",2wOqMjp9TyABvtHdOSOTUS,Ludwig van Beethoven,6eOuqhCfrTPp1H0YbQ9PmL,Beethoven: Symphonies Nos.5 & 7,61,0,0.248,0.298,0,0,0.0395,0.9570000000000001,0.9,0.0943,0.157,4
76wXMaJVSr0nSsKsSdwAiu,0.3452434664623492,0.3963967769033306,0.3913657080720912,"Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": II. Adagio un poco mosso - Live at Konzerthaus Berlin / 2018",2wOqMjp9TyABvtHdOSOTUS,Ludwig van Beethoven,5WT7AdeH0fFbj3tuXY6S1H,Beethoven: Complete Piano Concertos (Live at Konzerthaus Berlin / 2018),43,0,0.166,0.0363,11,1,0.0381,0.978,0.922,0.0882,0.039,4
5DFUsGW4Cmltv8Spd0u1aV,0.2615367451506048,0.399982166908352,0.7185294866159222,On The Nature Of Daylight,2VZNmg4vCnew4Pavo8zDdW,Max Richter,2Zlgv1oosng3OWHzdcTk9a,The Blue Notebooks,0,0,0.0891,0.341,10,0,0.046,0.145,0.836,0.111,0.0334,3
58Q96yWnuBqlKEGd2vGyAg,0.303669018833192,0.44716946599276347,0.4287069384355552,"St. Matthew Passion, BWV 244 / Part Two: ""Erbarme dich""",5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,1KtqRUSVnbGFvmYFuAqlGT,"Bach, J.S. St. Matthew Passion - Arias & Choruses",41,0,0.24,0.0648,4,0,0.0426,0.935,0.0272,0.258,0.0771,3
5d6FOGCa0EDqCJSpccEh8s,0.08140240751162,0.5990651705641357,0.5786965273118478,"Hungarian Dance No. 5 in G Minor, WoO 1, No. 5",5wTAi7QkpP6kp8a54lmTOq,Johannes Brahms,4hD83ipNcxjggZLJoV9GKK,Brahms: Hungarian Dances / Dvorak: Slavonic Dances,39,0,0.359,0.046,6,0,0.0407,0.9009999999999999,0.11800000000000001,0.27699999999999997,0.263,4
4GnVpbnWjHFrpXjAcPHvqM,0.1670557776833484,0.3186210327237231,0.6524304189898897,"Ave Maria, D. 839",2p0UyoPfYfI76PCStuXfOP,Franz Schubert,2RGRIeTk1G2gN9DQUPBkGe,Sacred Songs (US Bonus Track Version),46,0,0.12,0.138,10,1,0.048,0.9940000000000001,0.6859999999999999,0.11,0.043,4
7dchPojQcmY6eMBFJAo64i,0.2516271293779091,0.5890270171338466,0.4454572796890544,"Cello Concerto No.1, Op.107: 1. Allegretto",6s1pCNXcbdtQJlsnM1hRIA,Dmitri Shostakovich,0sGb0kn51PpPrPMmTgNA1U,Shostakovich: Cello Concertos Nos.1 & 2,0,0,0.46299999999999997,0.162,7,0,0.045,0.963,0.825,0.0943,0.374,4
1aTpzY2ggWHhPi8p2f56u1,0.1404441936050165,0.6348862201823667,0.16530550864123258,"Goldberg Variations, BWV 988: Aria da capo - 1981 Version",5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,6RkddyAzYq3QNZqdAhxPxF,"A State of Wonder: The Complete Goldberg Variations, BWV 988 (Recorded 1955 & 1981)",42,0,0.436,0.00518,7,1,0.067,0.995,0.932,0.0788,0.275,5
0neipEnwEzyd66aUqUsg5P,0.7293337752190697,0.5736577078845728,0.5428591259283252,"Cello Concerto In B Minor, Op.104, B. 191: 1. Allegro",6n7nd5iceYpXVwcx8VPpxF,Antonín Dvořák,0zwaTXZIMtLu2Y0vgbZDlQ,Dvorák: Cello Concerto / Tchaikovsky: Variations on a Rococo Theme,0,0,0.231,0.133,2,1,0.0437,0.963,0.659,0.135,0.0564,4
